,微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置,,
1932,JwvxiByEC,美国侨报网,男,海外,764,730280,美国侨报网:【#突发美国#】中国工厂数据好于预期、疫苗有望年底推出 华尔街开盘走高当地时间12月1日星期二，华尔街主要指数开盘走高。主要原因是中国工厂数据好于预期。另外，不止一种新冠疫苗有望在年底前推出，支撑了投资者对经济快速复苏的押注。 #新冠疫苗有望年底前推出##辉瑞# #Moderna##美国经济复苏# ,无,2020/12/2 0:11,微博 weibo.com,8,0,0,无,"有望,推出,疫苗,工厂,走高",
1933,JwE89eYtM,中国证券报,男,北京,825,1123711,中国证券报:【全球首款mRNA新冠核酸疫苗即将开打 复星医药正积极推进中国上市】12月2日，复星医药的全球合作伙伴BioNTech宣布获得英国药品和健康产品管理局（MHRA）批准其新冠疫苗BNT162b2的紧急使用授权。该疫苗为全球首款获批的mRNA新冠核酸疫苗，与灭活疫苗、病毒载体疫苗等传统技术路线不同，mRNA疫苗是一种新型的核酸疫苗。mRNA，即Messenger RNA（信使核糖核酸），是携带遗传信息的小型核酸片段，为人体细胞提供指令，产生靶标蛋白，即抗原，从而激活人体免疫反应，抵抗相应的病毒。 ,无,2020/12/2 22:04,微博 weibo.com,9,14,0,无,"疫苗,全球,核酸,新冠,首款",
1934,JwEasdSsN,财联社APP,男,上海,1181,2000845,财联社APP:【孙春兰：科学严谨做好新冠病毒疫苗研发和生产准备工作】财联社12月2日讯，国务院副总理孙春兰、国务委员王勇2日在北京调研新冠病毒疫苗研发和生产准备工作，实地考察中国食品药品检定研究院、北京科兴公司、国药中生北京公司，深入了解新冠病毒疫苗科研攻关、生产车间建设、批签发准备等情况，充分肯定疫苗工作取得的成绩。孙春兰指出，目前5条技术路线的14个疫苗进入临床试验，其中5个疫苗正在按程序按标准开展Ⅲ期临床试验，紧急使用、生产准备各项工作有序推进。下一步，要继续科学严谨推进疫苗Ⅲ期临床试验，严格按照法律法规和国际认可的技术标准做好审评审批工作，确保疫苗安全有效、经得起各方面检验。要做好大规模生产准备，严格按照质量监管、生物安全等法规、程序和要求，健全疫苗全流程追溯体系，依法严惩违法违规行为，营造良好市场环境。 原图 ,无,2020/12/2 22:09,无,32,19,2,无,"疫苗,工作,准备,生产,病毒",
1935,JwEaFtjh2,何何爱大理,男,陕西,11,521,何何爱大理:今天的新闻：1、俄罗斯总统普京称，俄罗斯将从下周开始大范围接种新冠疫苗。2、新冠疫苗在英国获批。两条新闻释放的信号是，中国的“它”，也快来了。 西安 显示地图 ,无,2020/12/2 22:10,iPhone客户端,1,0,0,无,"新冠,新闻,俄罗斯,疫苗,获批",
1936,JwEaW2opx,上海证券报,女,上海,419,1134278,上海证券报:#上证快讯# 【孙春兰、王勇在北京调研时强调 科学严谨做好新冠病毒疫苗研发和生产准备工作】国务院副总理孙春兰、国务委员王勇2日在北京调研新冠病毒疫苗研发和生产准备工作，实地考察中国食品药品检定研究院、北京科兴公司、国药中生北京公司，深入了解新冠病毒疫苗科研攻关、生产车间建设、批签发准备等情况，充分肯定疫苗工作取得的成绩。 ,无,2020/12/2 22:11,微博 weibo.com,1,5,0,无,"疫苗,北京,病毒,工作,新冠",
1937,JwEc00zau,复星医药sh600196,女,北京,30,2516,复星医药sh600196:复星医药 sh600196 全球首款新冠疫苗在英国获批，复星医药将招募960名志愿者参与中国临床，点击链接查看更多-> ,无,2020/12/2 22:13,微博股票,0,1,0,无,"临床,医药,点击,参与,中国",
1938,JwEe7a89Z,东方财富网,男,上海,1793,2524606,东方财富网:【孙春兰、王勇在北京调研时强调 科学严谨做好新冠病毒疫苗研发和生产准备工作】国务院副总理孙春兰、国务委员王勇2日在北京调研新冠病毒疫苗研发和生产准备工作，实地考察中国食品药品检定研究院、北京科兴公司、国药中生北京公司，深入了解新冠病毒疫苗科研攻关、生产车间建设、批签发准备等情况，充分肯定疫苗工作取得的成绩。（新华网） ,无,2020/12/2 22:18,微博 weibo.com,18,6,3,无,"疫苗,北京,病毒,工作,新冠",
1939,JwEeJC5QG,证券时报网,男,广东,735,2322087,证券时报网:【孙春兰、王勇在北京调研：科学严谨做好新冠病毒疫苗研发和生产准备工作】据新华社消息，国务院副总理孙春兰、国务委员王勇2日在北京调研新冠病毒疫苗研发和生产准备工作，实地考察中国食品药品检定研究院、北京科兴公司、国药中生北京公司。孙春兰指出，下一步，要继续科学严谨推进疫苗Ⅲ期临床试验，严格按照法律法规和国际认可的技术标准做好审评审批工作，确保疫苗安全有效、经得起各方面检验。要做好大规模生产准备。 ,无,2020/12/2 22:20,无,10,3,0,无,"疫苗,做好,北京,工作,生产",
1940,JwEpmfb6W,京城张宝,男,北京,4921,74807,京城张宝:【美媒:对发展中国家来说，中国新冠疫苗更具吸引力】据美国消费者新闻与商业频道（CNBC）11月29日报道，星展银行（DBS）一位经济学家表示，对于发展中国家而言，中国新冠疫苗与西方国家的相比，更具有吸引力。星展银行首席经济学家泰穆尔·拜格（Taimur Baig）指出，如果发展中国家想要西方开发的新冠疫苗，他们可能会面临漫长的等待，而更好的选择就是转向中国：“考虑到所需的数量非常庞大，中国疫苗的吸引力显而易见。”#美媒称中国新冠疫苗更具吸引力# 原图 ,无,2020/12/2 22:46,荣耀30 5G,1,0,0,无,"吸引力,中国,疫苗,新冠,更具",
1941,JwEyxnhBZ,醉美YZ,男,云南,1171,1851969,醉美YZ:『美媒:对发展中国家来说，中国新冠疫苗更具吸引力』 ,无,2020/12/2 23:09,HUAWEI Mate 30 5G,1,0,1,无,"疫苗,更具,新冠,吸引力,中国",
1942,JwEQLAlUl,真实雅妮Yannie,女,上海,143,939,真实雅妮Yannie:纽约的记者朋友转发了CNN的一篇关于中国新冠疫苗的报道，然后问：你们谁要？俄罗斯人回答说：对中国产品过敏……我留言：希望你不会对我过敏。然后，她在我的回复上打了颗心，回道：你是人，我爱人、自然和动物。我回复：我爱你。纽约的记者朋友看了我们的对话说：哪里会？好开心看到你呢！我回复：我也爱你。这世界该有多复杂？人们努力地保持理性，区分概念。眼睛有些湿润。 心潮起伏，做个人，好难呐！ ,无,2020/12/2 23:54,iPhone 11,2,1,0,无,"中国,纽约,概念,记者,朋友",
1943,JwESVpJpe,彼的宝在俄罗斯,女,海外,778,109842,彼的宝在俄罗斯:【 “俄罗斯新冠疫苗试验” 网面向俄罗斯14个地区招募中国新冠疫苗Ad5-nCov临床试验的志愿受试者】仅限俄罗斯人Ad5-nCov是中国康希诺生物股份公司、北京生物技术研究所、军事医学科学院共同研制的重组新冠疫苗，使用Ad5腺病毒载体。康希诺生物的这款新冠疫苗早在2020年3月就已启动临床试验，是全球首款进入临床研究阶段的新冠候选疫苗。I期（108名受试者）、II期（508名受试者）临床试验顺利完成，有关免疫原性和安全性的数据发表在世界权威医学期刊《柳叶刀》上。新冠疫苗Ad5-nCov今年6月底获批在中国军队内部使用，8月11日获得专利权。仅限俄罗斯人#俄罗斯疫情##头号博主说# 显示地图 原图 ,无,2020/12/2 23:59,俄罗斯超话,8,1,9,无,"俄罗斯,疫苗,新冠,生物,临床试验",
1944,JwEXg4eFE,育儿专家-王玉玮,女,山东,2660,1090216,育儿专家-王玉玮:#你会打新冠疫苗吗# 【BioNTech/辉瑞#复星新冠疫苗#有效率达95%获中国国药监临床试验批准】 美国Moderna、德国BioNTech和俄罗斯方面先后宣布自己研发的新冠疫苗有效率高于90%，相关股票大涨。全球在研新冠疫苗有100多种，研发时间大大缩短的背后，新冠疫苗安全性如何？ #新冠肺炎发病5天内传染性较强# ,无,2020/12/3 0:10,财经 · 视频社区,4,0,0,无,"新冠,疫苗,批准,临床试验,有效率",
1945,JwF1jef3G,俄罗斯卫星通讯社,男,海外,774,11400651,俄罗斯卫星通讯社:【俄罗斯居民可参加中国腺病毒载体新冠疫苗III期临床试验】 “俄罗斯新冠疫苗试验” 网站（covidtrialrussia）面向俄罗斯14个地区招募中国新冠疫苗Ad5-nCov临床试验的志愿受试者。 原图 ,无,2020/12/3 0:20,微博 weibo.com,34,9,9,无,"疫苗,新冠,中国,俄罗斯,临床试验",
1946,JwF31CTPM,柳佳衣,女,上海,128,44982,柳佳衣:美国那个新冠疫苗，三期实验什么时候开始的？什么时候就结束了？在世界不同地区做三期试验了吗？西方疫苗要是出事了，人家道歉就完事了。不像咱们中国新冠疫苗，全世界都盯着，一点差错不能有。s春兰指出，我们还要继续科学严谨推进疫苗Ⅲ期临床试验，严格按照法律法规和国际认可的技术标准做好审评审批工作，确保疫苗安全有效、经得起各方面检验。我们的新冠疫苗，要经得起各方面检验。 ,无,2020/12/3 0:24,无,47,2,3,无,"疫苗,新冠,经得起,时候,技术标准",
1947,JwHpLgImK,每日经济新闻,男,上海,728,47203256,每日经济新闻:【早财经丨孙春兰：做好新冠疫苗大规模生产准备；拜登就中美经贸协议表态，外交部回应】1、【孙春兰：做好新冠疫苗大规模生产准备】国务院副总理孙春兰、国务委员王勇2日在北京调研新冠病毒疫苗研发和生产准备工作，实地考察中国食品药品检定研究院、北京科兴公司、国药中生北京公司。孙春兰指出，下一步要做好新冠疫苗大规模生产准备。2、【拜登就中美经贸协议表态，外交部回应】据外交部网站，2020年12月2日外交部发言人华春莹主持例行记者会。彭博社记者：美国当选总统拜登告诉《纽约时报》，他不会立即对中美第一阶段经贸协议采取任何行动，将与关键盟友协商，全面审视美对华政策。中方对此有何回应？华春莹：关于中美经贸问题，中方多次表示，中美经贸合作的本质是互利共赢。中方一贯主张，对于双方经贸关系中出现的一些问题，应该本着相互尊重、平等协商的精神妥善加以解决。 （YX） ,无,2020/12/3 6:25,微博 weibo.com,27,19,8,无,"协议,疫苗,经贸,生产,准备",
1948,JwHx9fgGr,环球新视界,男,吉林,20000,20317,环球新视界:新华社：国务院副总理孙春兰、国务委员王勇12月2日在北京调研新冠病毒疫苗研发和生产准备工作，实地考察中国食品药品检定研究院、北京科兴公司、国药中生北京公司。目前，5条技术路线的14个疫苗进入临床试验，其中5个疫苗正在按程序按标准开展Ⅲ期临床试验。下一步，要做好大规模生产准备，要研究制定疫苗上市后的接种分配方案，明确人群范围、接种顺序和时间考虑，提前组织疾控机构和基层接种单位的人员培训。 ,无,2020/12/3 6:43,荣耀V9 我想要的快,1,0,0,无,"疫苗,接种,北京,准备,生产",
1949,JwHDG3H4E,股市股道,女,海外,3113,972746,股市股道:【全球首款mRNA新冠核酸疫苗即将开打 复星医药正积极推进中国上市】12月2日，复星医药的全球合作伙伴BioNTech宣布获得英国药品和健康产品管理局（MHRA）批准其新冠疫苗BNT162b2的紧急使用授权。该疫苗为全球首款获批的mRNA新冠核酸疫苗，与灭活疫苗、病毒载体疫苗等传统技术路线不同，mRNA疫苗是一种新型的核酸疫苗。mRNA，即Messenger RNA（信使核糖核酸），是携带遗传信息的小型核酸片段，为人体细胞提供指令，产生靶标蛋白，即抗原，从而激活人体免疫反应，抵抗相应的病毒。#疫情# #医疗资讯# 原图 ,无,2020/12/3 7:00,微博 weibo.com,5,2,0,无,"疫苗,核酸,新冠,全球,病毒",
1950,JwI25gu22,财联社APP,男,上海,1181,2000845,财联社APP:【财联社12月3日早报（周四）】①美股三大指数收盘涨跌不一，道指涨0.2%②孙春兰、王勇在京调研：做好新冠疫苗大规模生产准备③富时中国A50指数新纳入比亚迪等3股④煤炭期货价格创3年新高⑤央行正与香港金管局研究债券“南向通”。... 原图 ,无,2020/12/3 8:00,无,8,5,2,无,"期货价格,指数,疫苗,新冠,准备",
1951,JwIgegBqn,澄泓-研究君,男,上海,188,750235,澄泓-研究君:【军哥12月3日早间新闻精选】1、高层部署加快做好区域全面经济伙伴关系协定生效实施有关工作等。2、高层2日在北京调研新冠病毒疫苗研发和生产准备工作时强调，科学严谨做好新冠病毒疫苗研发和生产准备工作，要做好大规模生产准备。3、富时罗素宣布富时中国A50指数新纳入比亚迪、泸州老窖、爱尔眼科，删除保利地产、智飞生物、中国联通，该变更将于12月18日收盘后生效。4、工信部相关领导表示，会将信息上报上级单位，对于光伏玻璃熔炉项目报批和产能置换进行更加市场化的管控。5、乘联会发布11月乘用车市场周度零售数据，11月的日均零售为6.2万辆，同比增5%，环比10月增3%。6、上海市自2021年1月1日起降低全市大工业用电价格，大工业用电价格每千瓦时平均降低0.97分钱。7、原材料的紧缺以及价格持续上涨，让不少轮胎生产企业不得不上调轮胎价格。据卓创资讯不完全统计，2020年9月至今，超过40家轮胎企业陆续发布了涨价通知单。8、中国科学院精密测量科学与技术创新研究院突破一系列关键技术，研制出24亿年不差一秒的超高精度车载光频标。9、国盛金控公告，拟公开发行公司债券并于近期启动申报准备工作，本次公开发行的公司债券面值总额不超过20亿元。10、九天八板郑州煤电公告，目前各品种煤炭供需均呈现旺季特征。目前大部分用户库存均比前期已经有了较大幅度提高，在没有恶劣天气影响的情况下，后期采购将趋于平稳。11、苏宁易购公告，“18苏宁01”等债券已完成购回，公司将于12月9日足额支付债券购回金额至中国证券登记结算有限责任公司深圳分公司指定的银行账户。12、小康股份公告，公司近期股价涨幅较大，估值远高于行业整体水平，公司正在严肃自查。13、东旭光电2016年度第二期中期票据（16东旭光电MTN002）未能按期足额支付利息，已构成实质性违约。14、中核钛白将国内客户销售价格上调600元人民币/吨，国际客户出口价格上调100美元/吨。15、隔夜美股三大指数收盘涨跌不一，纳指跌0.05%，道指涨0.2%，标普500指数涨0.18%。国际原油期货收涨，美油、布油均涨逾1%。COMEX 2月黄金期货收涨0.62%。16、美国众议院表决通过《外国公司问责法》。该法案要求，外国发行人连续三年不能满足美国公众公司会计监督委员会对会计师事务所检查要求的，禁止其证券在美国交易。17、英国卫生和社会保健部发言人称，政府已批准使用辉瑞和德国生物新技术公司(BioNTech)的新冠疫苗。该疫苗将从下周开始在全英国提供。18、OPEC+将于周四召开会议，据悉在俄罗斯、沙特等几个主要国家连续几天的直接磋商后，成员国就达成产量协议取得一定进展，但尚未板上钉钉。 ,无,2020/12/3 8:35,小米MIX2S 全面屏,8,0,0,无,"公司,价格,公告,疫苗,做好",
1952,JwIqjhRwg,谈古论今199009,男,其他,15,2,谈古论今199009:昨日大盘指数终于创下新高，一是中国对新冠肺炎的有效控制，使得经济快速复苏，进入正常轨道；二是虽然国际疫情有所反复，但疫苗的成功研发提振全球信心，经济复苏指日可待。近期看好金融、氢能源、港口、通讯、有机硅、水产养殖。 ,无,2020/12/3 8:59,360安全浏览器,2,0,0,无,"复苏,经济,有机硅,新高,有所",
1953,JwIq3AWmM,赵雨轩,男,北京,198,5535,赵雨轩:如何看待 11 月 25 日，中国国药集团称已向国家药监局提交了新冠疫苗上市申请？ 👉 来源: 原图 ,无,2020/12/3 8:59,iPhone,0,1,0,无,"提交,疫苗,新冠,上市,集团",
1954,JwIyMFUUf,环球新视界,男,吉林,20000,20317,环球新视界:【美智库专家：金正恩已接种中国疫苗 中方或向朝鲜全民提供新冠疫苗】（来自 中方或向朝鲜全民提供新冠疫苗 原图 ,无,2020/12/3 9:20,一点资讯小米,3,0,3,无,"疫苗,新冠,提供,朝鲜,全民",
1955,JwIH9gjwB,鸡毛蒜皮破事儿,男,黑龙江,837,197,鸡毛蒜皮破事儿:那些相信欧美有疫苗就可以控制疫情的脑子，先考虑下他们口罩问题研究清楚没？再考虑下有多少人是反疫苗的，有多少人相信疫苗控制大脑？#美国48名NBA球员新冠检测阳性##每个美国人获得约120个中国口罩# ,无,2020/12/3 9:41,荣耀V20 4800万3D相机,1,0,0,无,"控制,疫苗,美国,相信,口罩",
1956,JwIJEm2iX,吴德鹏,男,浙江,149,60116,"吴德鹏:美国民主党首次在刺激法案谈判中作出公开让步，支持以9,080亿美元的两党方案作为谈判基础；美股再创纪录新高。据悉OPEC+的产量谈判取得一定进展，或考虑逐步降低减产幅度。英国批准辉瑞新冠疫苗。美国国会表决通过限制中国公司在美国上市的议案。香港与内地研究债券“南向通”框架。 ",无,2020/12/3 9:47,微博会员限量版,1,0,0,无,"作出,谈判,让步,法案,刺激",
1957,JwIPPzZOz,凤凰名人馆,女,香港,220,35929,凤凰名人馆:【孙春兰促做好新冠疫苗研发生产准备】中国国务院副总理孙春兰、国务委员王勇2号在北京，实地调研新冠病毒疫苗研发和生产准备工作。 [组图共2张] 原图 ,无,2020/12/3 10:02,微博 weibo.com,2,0,0,无,"疫苗,生产,新冠,准备,调研",
1958,JwJ2xrpk8,中国舆论场,男,北京,90,1726046,中国舆论场:【俄总统普京指示下周开始大规模接种新冠疫苗】据俄罗斯媒体12月2日报道，俄罗斯总统普京当天指示下周开始大规模接种新冠疫苗，接种将会从风险最高的两个人群：医生和教师开始。（中国新闻） 中国舆论场的微博视频 ,无,2020/12/3 10:34,微博 weibo.com,3,0,0,无,"开始,接种,中国,指示,疫苗",
1959,JwJ9rhC3g,复星医药hk02196,女,北京,2,94,复星医药hk02196:复星医药 hk02196 港股异动︱复星医药(02196)涨超5% 正积极推进中国临床 全球首款mRNA新冠核酸疫苗下周英国开打，点击链接查看更多-> ,无,2020/12/3 10:51,微博股票,0,1,0,无,"全球,开打,医药,英国,首款",
1960,JwJixER5e,辉瑞PFE,女,北京,2,283,辉瑞PFE:辉瑞 PFE 复星医药AH股齐涨 正积极推进辉瑞mRNA新冠核酸疫苗中国临床，点击链接查看更多-> ,无,2020/12/3 11:13,微博股票,0,1,0,无,"临床,中国,核酸,新冠,点击",
1961,JwJiUmOfO,复星医药sh600196,女,北京,30,2516,复星医药sh600196:复星医药 sh600196 复星医药AH股齐涨 正积极推进辉瑞mRNA新冠核酸疫苗中国临床，点击链接查看更多-> ,无,2020/12/3 11:14,微博股票,1,0,0,无,"临床,中国,医药,核酸,新冠",
1962,JwJw05W2H,央企头条,女,北京,458,696995,央企头条:#央企热度指数#由 联合 大数据研究院和 共同发布的【央企2020年11月热点事件排行TOP10】出炉啦！“中国联通：最快明年实现2G全面退网”、“国药集团：已提交新冠疫苗上市申请”、“华电集团茂华万通源煤业发生透水事故”事件位列11月热点事件排行榜前三，受到较多舆论关注。 ,无,2020/12/3 11:46,微博 weibo.com,1,1,0,无,"事件,研究院,联合,提交,热点",
1963,JwJGN8TpS,厦禾路龙哥,男,福建,4278,837550,厦禾路龙哥:虽然美国以及欧洲等不少国家依然面临严峻的疫情影响，但随着12月份带来，新冠疫苗也在不断爆出新消息，目前美国、俄罗斯、中国的疫苗基本已面世并接受注射。如消息面上，普京要求俄罗斯政府下周(12月第二周)启动大规模疫苗接种，同时菲律宾或于明年第一季度获得俄罗斯和中国新冠疫苗，疫苗的上市必然对于目前疫情的控制肯定是利好，同时也预示新冠导致全球经济低迷的周期结束，2021年开始全球经济复苏将开始。有消息显示，拜登政府上台，为对冲疫情对美国经济的影响，为稳定美国全球霸主的地位，一个由两党参议员组成的小组将公布一个规模9080亿美元的经济刺激方案，美国或将开始新一轮的万亿美元的基金投资，这些都无疑对全球大众商品，资源品是大利好。作为全球国际大投行的高盛也盯上了铜，预计铜价剑指1万美元；除此之外，近期消息面铁矿石涨价已经开始，钢材价格也迎来了上涨，全球或再度掀起一波资源周期狂潮，所以周期个股回调到位后又会再涨~！ ,无,2020/12/3 12:13,微博 weibo.com,232,2,12,无,"全球,疫苗,美国,经济,开始",
1964,JwJJz7tD0,小央视频,女,北京,232,5921735,小央视频:【中国新冠疫苗在土耳其试验 志愿者未出现重大副作用】土耳其《自由每日新闻报》12月1号报道，土耳其官员称，土方对参加中国新冠疫苗三期临床试验的志愿者进行密切观察，目前试验结果显示没有出现重大副作用。 小央视频的微博视频 ,无,2020/12/3 12:20,微博 weibo.com,16,1,9,无,"土耳其,新冠,中国,试验,疫苗",
1965,JwJN14MOg,山东法制报,男,山东,141,52434,山东法制报:【中国新冠疫苗在土耳其试验 志愿者未出现重大副作用】土耳其《自由每日新闻报》12月1号报道，土耳其官员称，土方对参加中国新冠疫苗三期临床试验的志愿者进行密切观察，目前试验结果显示没有出现重大副作用。 小央视频的微博视频 ,无,2020/12/3 12:28,iPhone客户端,1,0,0,无,"土耳其,中国,新冠,试验,疫苗",
1966,JwJZNAfnu,和讯网,男,北京,471,690145,和讯网:【国产新冠疫苗大消息！国务院副总理孙春兰：做好大规模生产准备！今年这些人紧急使用】土耳其医学专家：中国疫苗能够提供足够的保护。 ,无,2020/12/3 13:00,微博 weibo.com,9,0,0,无,"疫苗,能够,中国,做好,医学专家",
1967,JwK1aCZ3V,金鼎股战场,男,湖北,564,796639,金鼎股战场:祝贺：中国五款进入三期临床的新冠疫苗，分别是：国药集团下属武汉生物研究所的灭活疫苗；国药集团下属北京生物研究所的灭活疫苗；军科院联合康希诺公司研发的腺病毒载体疫苗；安徽智飞龙科马生物制药有限公司的重组蛋白疫苗；北京科兴中维生物技术有限公司的灭活疫苗。 ,无,2020/12/3 13:03,微博 weibo.com,12,3,0,无,"疫苗,北京,有限公司,生物,活疫苗",
1968,JwK7S6X3A,微土耳其,女,北京,30,7567,微土耳其:【中国新冠疫苗在土耳其试验 志愿者未出现重大副作用】土耳其《自由每日新闻报》12月1号报道，土耳其官员称，土方对参加中国新冠疫苗三期临床试验的志愿者进行密切观察，目前试验结果显示没有出现重大副作用。小央视频的微博视频 ,无,2020/12/3 13:19,微博发布平台专业版,2,1,0,无,"土耳其,新冠,试验,出现,疫苗",
1969,JwK7UuOsN,网易健康,女,北京,683,448072,网易健康:【寒冬已至，一起来打疫情谣言“预防针”】2020年，已经快走到终点，但新冠肺炎疫情，却没画上句号。局部疫情仍不时出现，随之而起的，还有一则则传言：“可在朋友圈购买新冠肺炎疫苗”“银离子抗菌液能杀灭新冠病毒”“中国新冠肺炎疫苗定价高”……这些传言究竟是真是假？谣言一：可在朋友圈购买新冠肺炎疫苗真相：疫苗尚未上市，微商涉嫌违法新冠肺炎疫苗还未上市，有人已在朋友圈开卖。近日，北京海淀区人民检察院办理了一起通过在网上散布售卖新冠肺炎疫苗虚假消息从而骗取钱财的案件。该案犯罪嫌疑人与其同伙在某网络平台散布虚假消息，虚构其有新冠肺炎疫苗现货，先后有多名受害者信以为真并支付了款项。自新冠肺炎疫苗进入临床实验以来，相关的谣言和诈骗信息就没有停过。不少微商“嗅”到商机，在朋友圈兜售所谓的“新冠肺炎疫苗”骗取钱财。可以肯定的是，微商在朋友圈里兜售疫苗是一种违法行为。复旦大学附属华山医院感染科主任张文宏建议道，公众不用着急打新冠肺炎疫苗。“我们不要太过焦虑，等等再看一下，在研疫苗当中到底哪个最终有效。现在国内的防控模式、防控能力，在疫苗出来之前，是可以保障国内经济平稳、有序发展的。”他说。同时，业内人士也指出，公众应该保持理性，不信谣、不传谣，从政府部门、官方媒体等权威来源获取信息；另一方面，有关部门也应对出现的谣言早处理、早澄清。谣言二：中国新冠肺炎疫苗定价高真相：定价会在大众可接受的范围内近日，有关新冠肺炎疫苗价格的话题热度颇高，一些传言称，中国新冠肺炎疫苗定价高。这是真的吗？对此，国家卫生健康委科技发展中心主任、国务院联防联控机制科研攻关组疫苗研发专班工作组组长郑忠伟解释道，对于新冠肺炎疫苗的定价，我国坚持企业主体定价，同时作为公共产品属性，定价一定不是以供需作为定价基础，而是以成本作为定价基础，并根据大众对新冠肺炎疫苗接种的意愿和接种的需求来进行定价。“我负责任地告诉大家，中国新冠肺炎疫苗的价格，一定是在大众可接受的范围内。新冠肺炎疫苗的价格决定因素有很多，除成本外，也包括产能、接种规模，而且不同的技术路线成本也不一样。比如灭活疫苗，它的生产就需要高等级的生物安全生产车间。随着产能的扩大、接种规模的扩大，成本也会变动，但不管怎样，新冠肺炎疫苗的价格，一定是在大众可接受范围内。”郑忠伟坦言。郑忠伟还介绍道，我国新冠肺炎疫苗研制成功上市后，将作为全球公共产品。在向全球提供疫苗的时候，我国一定会给出一个公平合理的价格，而且对不发达国家或者发展中国家，我国还可以通过援助等方式，给予它们支持。谣言三：银离子抗菌液能杀灭新冠病毒真相：没有科学依据，该产品会影响胎儿近日，有消息称，将银离子抗菌液喷在口罩上可杀灭新冠病毒。对此，北京化工大学副教授袁智勤表示，银离子抗菌剂属于广谱抗菌剂，它主要对细菌类微生物具有良好的杀菌消毒效果，而对病毒类微生物的灭杀效果，有待商榷。此外，银离子属于重金属，即使含量很低，摄入后也会对身体造成影响，尤其是对胎儿。为确保胎儿的健康成长，孕妇不宜使用银离子抗菌液。袁智勤表示，从国家卫健委发布的新冠病毒诊疗方案意见来看，并未提及银离子抗菌液能够灭杀新冠病毒，也没有对银离子抗菌液进行推荐。到目前为止，尚无权威机构证实银离子或其抗菌液对新冠病毒有灭杀效果。因此，银离子或其抗菌液对新冠病毒是否具有灭杀效果，还需要进一步验证。“利用银离子抗菌液杀灭新冠病毒，这一说法缺乏科学依据。若将银离子抗菌液喷在口罩上，更难保证其能杀灭新冠病毒。由于消毒原理和适用条件不同，消毒剂并非都能高效灭活新冠病毒。要想知道日常使用的消毒剂能否杀灭新冠病毒，应关注国家权威机构发布的相关文件。”袁智勤表示。 原图 ,无,2020/12/3 13:20,微博 weibo.com,1,0,0,无,"新冠,疫苗,肺炎,病毒,银离子",
1970,JwKetDOlk,焗白菜,男,浙江,1654,126385,焗白菜:俄罗斯将开始大规模接种新冠疫苗，优先接种医生和教师两个职业，其实在我国的很多地区已经开始施行，这点中国有自信说走在世界前列，只不过我们人口多，全面铺开的难度系数较大，不过随着疫苗的生产成本下降，全面铺开在我国也是指日可待了。 你接种过新冠疫苗吗？ ,无,2020/12/3 13:36,浙江好网民iPhone客户端,20,1,1,无,"接种,开始,疫苗,优先,前列",
1971,JwKg6F4D2,飞行员-贝塔,男,北京,211,11655,飞行员-贝塔:英国，美国，俄罗斯，中国即将大规模生产和注射使用新冠疫苗的消息，大小刺激了相关概念股的强势反弹。12月3日，WIND疫苗指数一路走高，上涨近4.8%，板块总市值暴涨近500亿。 ,无,2020/12/3 13:40,HUAWEI Mate 30 Pro,51,2,10,无,"疫苗,新冠,使用,英国,相关",
1972,JwKlEDmpn,贝塔说股票,男,北京,974,11,贝塔说股票:英国，美国，俄罗斯，中国即将大规模生产和注射使用新冠疫苗的消息，大小 ,无,2020/12/3 13:53,微博手机版,1,0,0,无,"美国,新冠,使用,生产,疫苗",
1973,JwKq3Elbv,mj微风,男,广东,2260,215364,mj微风:美国三位前总统奥巴马、布什及克林顿主动提出，在疫苗获批后，将在镜头前打疫苗，以消除美国民众对疫苗的顾虑…#美国48名NBA球员新冠检测阳性##每个美国人获得约120个中国口罩##微风看世界# 原图 ,无,2020/12/3 14:04,红米Redmi,1,1,1,无,"美国,疫苗,微风,世界,阳性",
1974,JwKuft7uY,东方诺超可耐,男,辽宁,87,15351,东方诺超可耐:虽然不知道俄罗斯那边疫情怎么样，也没有过多了解，听闻疫苗已经能适用于人体，虽然身在远方，但是既然都同住地球村同样俄罗斯对中国一向很友好 ，我祝愿不要有任何的人有意外发生。#俄罗斯将开始大规模接种新冠疫苗# ,无,2020/12/3 14:15,无,17,0,0,无,"俄罗斯,疫苗,接种,开始,知道",
1975,JwKAA7mRB,踏浪之帆,女,海外,1917,30318,踏浪之帆:一直在想，何时才能恢复世界原来的样子，可以随时出国玩。要回答这个问题就得回答另一个问题：中国认可新冠疫苗(哪怕是国产)吗？假设你打了新冠疫苗，明天你去美国旅游， 然后你从美国回中国时，中国认你的疫苗吗？可以免核酸免隔离吗？只要不能免除隔离，出国旅游对于一年根本没几天假期的打工人就是个梦。当然，对非打工族，自由职业、老板、无业者这类人来说上述问题不存在，因为他们随时有时间去隔离。 ,无,2020/12/3 14:30,微博 weibo.com,1,0,2,无,"问题,隔离,中国,出国,新冠",
