

























需求,模型,配置,规划,储能
故障,连锁,系统,行为,演变
电网,运行,控制,系统,方法
菌株,测定,茶树,拮抗,观察

线虫,根系,大豆,数量,分布





光谱,技术,数据,时域,方法
沉积物,含量,性质,理化,形态
土壤,水系,分析,北运河,分布

分离,医院,细菌,结果,临床





食管癌,贲门癌,多态性,肿瘤,家族史

分析,目的,转移,基因型,分布

转移,分析,淋巴结,患者,基因型

易感性,多态性,基因型,细胞,分析
卵巢癌,基因型,多态性,易感性,遗传





固化,添加,单体,改性,超支


胶质瘤,大鼠,给予,程度,开放








含量,胁迫,细胞,强度,部分







治疗,沙坦,片剂,单药,复方













油脂,消化,饲用,生长,试验





污染物,排放,发动机,常规,增加
排放,工况,道路,发动机,行驶




进行,制备,色散,测试,波长













前庭,功能,家系,检查,提示




水道,余流,流向,站位,沙洲

模型,数据,计算结果,处理,计算









复合材料,热导率,界面,体系,处理
纤维,强度,用量,力学性能,纤维长度
影响,传热,过程,作用,毡体
复合材料,绝缘,热导率,填料,体系
强度,增强,力学性能,复合材料,模量
纤维素,进行,过程,技术,生物转化
流动性,增大,强度,质量,性能
强度,力学性能,制备,增强,生产





涂层,体系,硅化物,高温,应用












阴极,涂层,石墨,制度,采用

时间,复合材料,具有,可逆,水热

时间,复合材料,具有,水热,性能
电导率,实验,装置,测试,满足







包套,样品,粉末,超导,采用




结构,含有,组织,吸铸,铸态



























加固,混凝土,性能,抗震,钢筋













渠道,排水,能耗,方面,开发
蒸发,研究,分析,计算方法,进行
土壤,灌溉,基质,淋洗,影响
孔隙,土壤,处理,调控,滤层
土壤,活性,覆膜,滴灌,种植
运动,盐分,土壤,阶段,水分
大通县,技术,状况,过渡,地带












杂交,光化学,转化,猝灭,利用
水分,增加,处理,品系,具有
放牧,管理,提供,模拟,牧场

发展,有关,基地,能源,过程

发展,有关,基地,能源,过程





广南,表明,盆地,时代,砚山
花粉,表土,植被,研究,荒漠











裂缝,构造,组合,尖端,模型
硕士,研究生,学科,生态,培养
生源,研究生,数量,硕士,生态










老化,拉伸,分子,质量,分析





完井,参数,套管,校核,进行
存储器,测试,具有,进行,算法
算法,二进制,搜索算法,标签,识别
可靠性,采取,措施,结果,盲目性
电路,输入,中心,实现,电流
噪声,混合,椒盐,详细分析,指纹图



评标,成本,工作,方法,低价
信息化,区域,发展,劳动生产率,相关
























盆底,悬吊,脱垂,器官,盆腔



卵巢,睾酮,分泌,作用,雄激素





耗散,社会,人类,结构,发展

发展,问题,社会,人口,资源

带鱼,下脚料,物质,风味,挥发性
蛋白,黑素,鸡肉,可能,风味
参数,配方,工艺,盐水,质量
小鼠,脾脏,细胞,荷瘤,增大
糟鱼,盐渍,试验,条件,食盐










情報,研究所,学術
情報,研究所,学術
氧化,进行,晶型,阳极,电极

量子,合金,表面,光谱,结构

量子,光谱,荧光,巯基,发射

物种,信息熵,基因组,进行,典型





建筑业,发展,分析,江苏省,建筑
知识库,设计,地铁,分析,功能












治疗,增加,医疗,发生,提高
治疗,增加,发生,提高,肝功能



基因,减毒,活疫苗,缺失,差异
杂交,基因组,进行,基因,双色
分型,进化,传统,宿主,采用

















































表达,细胞系,构建,定位,蛋白
染色体,信号,原位杂交,灵敏度,荧光







大蒜,辐照,电子束,抑芽,品质
蛋白,分离,大豆,功能,乳化
超滤,菠萝,洗脱,液用,截留









空间,月球,网格,离散,数据模型





试验,力学性能,模型,掺量,数据



脂质体,细胞,肿瘤,采用,亲和性








小鼠,疫苗,基因,脾脏,重量
免疫,小鼠,反应,抗体,保护






诱集,方法,昆虫,蜚蠊,装置
























字符,信息,技术,图像,并用

全频段,模型,分析,验证,线性







热解,粒度,实验,煤样,减小
热解,失重,特性,速率,煤粉
热解,样品,失重,动力学,过程



石膏,改良,计算,应用,推理
模型,模拟,数据,生长,贮水量












神经,损伤,超微结构,电压,恢复
组织,止血,沸石,死亡率,血管
伤口,治疗,创面,负压,封闭
创面,复合,瘢痕,移植,功能
共培养,细胞,周皮,血管,内皮细胞

皮瓣,血管,修复,逆行,岛状


手术,尼莫地平,局部,颅脑,外伤








监控,智能,数据,系统,视频






垂直,分布,植物区系,成分,温带
格局,空间,分布,沙地,龄级

检验,具有,关系,关联,数量



降水,减少,事件,趋势,强度
序列,变化,中国,提高,分析
流域,影响,气候变化,治理,模式
问题,气候变化,水文,水资源,研究
极端,降水,长江流域,增加,发生
风速,观测,台站,环境,资料
低温,事件,气温,雨雪,极端
影响,治理,工程,流域,洼地
中国,变暖,世纪,气候,研究
变化,趋势,长江流域,流量,输沙量
水资源,措施,管理,水价,适应性



模型,观点,动力学,研究,网络
博弈,演化,研究,网络,关系








衣原体,胞质,发育,沙眼,研究








选择,分析,基因,性状,效应











































































方式,应付,家庭,监督,养育
方式,应付,人格,医院,问卷
因素,影响,疗效,症状,家族史
心理,地震,应激,伤员,效应
注意,反复,外婆,叫声,集中
教学,精神病学,适合,提出,探寻














出行,方式,模型,组合,分配

行为,停车,模型,交通,研究








模型,节点,网络,进行,抽象





系统,依赖,风险,复杂度,分析
























荒漠,绿洲,沙质,荒漠化,沙漠化
水稻,耐盐,育种,应用,方法






























合成,柴胡皂苷,位点,生物,基因








地下害虫,群落,耕作,秸秆,密度

杂草,产量,耕作,秸秆,常规








治疗,注射液,结合,熏蒸,观察









































细胞,星状,表达,诱导,标记




















内蒙古,特征,剩磁,数据,石炭世
































硬件,设计,部件,搜索引擎,使用
合成,服务,体系结构,方法,实现








































































































太阳能,半导体,经济,效应,发展
太阳能,半导体,经济,效应,发展








扩增,检测,白粉病,引物,标记




















流域,模型,模拟,流量,滇池











湖泊,磁化率,沉积物,波动,环境




































小鼠,转基因,月龄,实验,产生





















屋盖,施工,分析,吊装,过程















发现,甘肃,美国,临洮县,发病
施肥,土样,土层,生长,曲线

土壤,活性,含量,氮磷,配施
冠层,温度,产量,增强,因素
致病性,病原菌,进行,测定,叶点



线路,输电,元件,技术,电子













































硅质,稀土,大陆,模式,形成























企业,自主,内资,能力,促进

格局,人类,世界,影响,革命
经济,没有,增长,研究,利用
资本,形成,效率,投资,建立
发展,应该,经济,宏观经济,进行
研究,公司,金融学,投资者,行为
























中国,大陆,地震,交界,构造




地壳,地震,构造,华北,结构






阴影,模型,背景,方法,提取

















































































































































































人口,空间,都市区,进行,优先
土地利用,区域,滨湖,城市,生态

影响,地铁站,范围,相关,空间

企业,环境压力,工业,压力,环境
开发,区域,太湖,生态,评价
经济带,发展,演变,流域,轴带











二极管,驱动,方法,电流,相变















空间,系统,服务器,实现,服务







石墨,热导率,膨胀,复合材料,改善
石墨,热导率,膨胀,复合材料,改善



























岩层,进行,强度,超过,定为
热导率,凝胶,气体,影响,结构单元
尾矿,达到,混磨,混凝土,制品
地表,使用,预测,矿山,建设
添加剂,纤维,直径,石灰,研究
胶凝,作为,粉煤灰,钢渣,尾矿
防火,钢结构,超轻,防火板,简述
实验,吸附,性能,进行,酸化

壳聚糖,基因,芽孢,反应,枯草














石油,浓度,富集,释放,水体










乐果,氧化,过氧化,驯化,施用






中心,反应,光合,电子,能量




材料,复合材料,满足,工艺,电子






















晶粒,模拟,算法,生长,材料










表达,腺癌,大肠,腺瘤,阳性
组织,鼻咽癌,表达,程度,蛋白















































































反应,融合,单抗,蛋白,应用
生猪,胴体,生产,沙门,大肠菌群
免疫,黏膜,联合,重组,禽流感
控制,食源性,沙门,食品,金黄色

























胆固醇,表达,肝脏,胆囊,基因





















细胞株,细胞,提取,肿瘤,集落



灯盏,大鼠,乙素,血浆,质谱
脂质体,测定,微柱,样品,进行
检索,处方药,药品,评价,转换












































































检测,反应,方法,建立,进行
栖息,渤海,生物,黄海,足目
菌株,弧菌,分离,实验,得出
养殖,对虾,絮团,生物,传统
微卫星,脊尾,位点,富集,白虾
附着,刺参,栖息,选择,位置
试验,发酵,生态,制剂,达到
群体,位点,微卫星,遗传,莱州湾
细菌,附着,海水,提供,演替











































早稻,处理,增加,产量,抗折力

肥料,效应,试验,施用,钾肥
释放,紫花,苕子,烤烟,光叶












悬架,半主动,控制,天棚,虚拟
转向,汽车,模型,系统,集成









组织,生物,偏振,光谱,检测
生物,光学,组织,层析成像,技术


土地,资源,产业带,利用,评价
经济,发展,循环,农业,评价
土地利用,影响,污染,利用,改善
影响,轨道交通,土地价格,地价,进行
























模拟,动力学,变化,模型,性质
国际,会议,报名,摘要,参加

















迭代,化极,计算,地区,条件

走时,推导,进行,模型,非对称
地震,序列,震源,表明,位置
作业,编辑,地震,参数,模块
地震,活动,主震,构造,发生















花岗质,岩石,锆石,地壳,西姚
发现,化石,地层,同位素,厘定

化石,发现,留世,古生物,时代
































































指标,榕树,生长,生理,诊断
盐度,下降,幼苗,生长,升高
九龙江,特征,面积,信息,世纪
鱼类,含量,生物,研究,富集









诱发,情绪,进行,自豪,方法
儿童,学习,社会,目标,水平
模型,进行,样本,因子,二阶
同情,学业,消极,事件,行为
谈判,社会动机,经理,人事,联合
调节,情绪,效能,研究,功能
存在,方式,注视,呈现,指标
记忆效应,研究,出现,记住,再认
烃源,排烃,研究,厚度,特征
志留系,形成,过程,油气,分布
油气,控制,发育,分布,凹陷
成藏,断裂,源岩,油气,空间
评价,圈闭,地质,方法,进行

前陆,盆地,条件,勘探,油气
地质,专业,发展,建设,石油
储层,地区,碳酸盐岩,油气,分布
烃源,海域,渤海,研究,油气
油气,成藏,油气藏,控制,分布
电导,发光,器件,磁场,效应
器件,电导,插层,表现,温度





















纤维化,肾脏,梗阻,单侧,肾小管

胚胎,潮霉素,滋养层,抗性,干细胞





































化学,计算,研究,应用,平台























凝胶,增殖,分化,复合,骨向













































数字,应用,世界,提出,理论
制造,技术,特征,实施,典型
制造,面向,技术,服务,计算


































治疗,肾病,糖尿病,差异,患者
治疗,患者,对照组,降低,糖尿病














蛋白质,设计,界面,分子,对接




光谱,研究,技术,色散,分析
检修,维护,电力,行业,项目







模型,应用,用户,共享,实际






天山,抬升,西南,裂变,研究
变形,发育,作用,后造山,造山
造山,增生,岩体,构造,变形
样品,年龄,地区,矿物,数据
减排,基础,目标,共识,政治
积雪,时间,中国,模式,变化
预报,海温,统计,进行,模型
系数,下垫面,流动沙丘,变化,相似
气候,减少,事件,温度,趋势
综合,风险,研究,灾害,全球
气候变化,脆弱性,分布,气候,植被
径流,植被,土地利用,引起,黄河
径流,植被,土地利用,长江流域,变化
降水,事件,变化,模式,强度
油嘴,喷孔,传统,喷油,超多
试验,喷油嘴,降低,排放,喷孔
合金,非晶,结构,循环,放电
复合材料,电导,导电,电导率,质量
燃烧,排放,实现,消耗,燃油
表明,溶胶,包覆,X射线,光谱
燃烧,火花,辅助,压力,进气



研究,大熊猫,领衔,昆明,深圳








基因,表达,湖羊,日龄,增加
表达,湖羊,组织,排卵,卵巢

基因,月龄,表达,湖羊,升高
糖类,物质,材料,色谱,粘附
遗传,适应,绵羊,座位,组合

患者,实验组,血管,症状,水平
行为,基因,基因型,多态性,进行
湖羊,产羔,位点,性状,微卫星
结果,测量,分析,纬向,数据
臭氧,环流,指数,关系,变化

变化,环流,臭氧,经圈,关系
臭氧,环流,对流层,作用,上空
环流,上升,臭氧,资料,分析
臭氧,减少,环流,总量,升高


辐射,测量,定标,空间,气候变化









激励,股权,契约,研究,文献
信息,披露,审计,财务,风险
价值,讨论,会计,契约,研究
价值,中国,有用,研究,决策
政府,企业,地方,财政,治理

发展,金融,债务,公司,地区
政策,影响,变更,不确定性,经济
会计,盈余,稳健性,公司,控制权
股权,收益,控股,股东,转让
民营企业,原罪,会计信息,企业家,产权
温度,样品,退火,颗粒,规则
样品,发射,离子半径,比例,研究














水平,阻断,患者,血流,差异








标志点,匹配,测量,初始,编码



晶体,共轭,损伤,关联,增加



订正,方法,预测,预报,效果
验证,海域,进行,中国,数据
爆发,波包,季风,南海,传播
重金属,含量,富集,海域,季节
海域,中国,气溶胶,进行,分布
气溶胶,辐射,短波,分布,大气





理论,行为,决策,发展,理性
汽车,产业链,逆向,政策,产业
餐厅,座位,组合,收益,提高
共生,企业,能量,物流,变化
渠道,价格,直销,制造商,风险
调度,研究,技术,算法,项目
物流,金融服务,企业,共生,零售
客户,订货量,单位,情况,订货
物流,关系,共生,企业,双方
物流,企业,价格,能力,期权
应急,物流,运输,组建,服务网络








肺炎,链球菌,抗菌,药物,医院
杆菌,药物,敏感性,抗菌,医院
抗菌,活性,青酶,大肠,头孢
火山岩,形成,天山,火山,围岩

火山岩,铜矿,特征,岛弧,形成










气溶胶,结果,分布,分析,对流层
视场,探测,气溶胶,散射,波长
治疗,临床,定喘,小儿,儿童哮喘
气溶胶,大气,合肥,测量,上空
光谱,激光,自由基,能量,陶瓷

塑料,光谱,识别,测试,技术

优势,竞争,河南省,资本,要素

城市群,优化,结构,升级,功能
公路,维数,公路交通,经济,差异
空间,流域,经济,特征,伊洛河
空间,研究,问题,世界,社会
畜牧业,竞争力,地区,综合,河南省


分岔,诱导,进行,方法,判断

裕度,求解,电压,静态,初值















课件,课程,制作,教学内容,材料




禽流感,出现,致病性,影像学,患者













土壤,获取,信息,反馈,空间
中国,地貌,研究,地貌图,喀斯特











开放,过程,仪器,技能,实验






















粒子,药物,分子,细胞,肿瘤

































品种,产量,根系,生育期,高产
品种,氮素,生育期,粳稻,籼稻
根系,单株,性状,不定根,品种
品种,单株,根系,吸氮量,粳稻
湿度,平台,系统,温度,气体
品种,物质,库容量,库容,产量
氮素,品种,库容量,类型,鞘叶
品种,库容量,产量,籼稻,单位
根系,品种,供试,单穗,面积
品种,物质,产量,叶面积,经济
品种,成穗率,氮素,类型,生育期
叠氮,反应,衍生物,丙酸,氨基
资源管理,部门,国土,培训,问卷
表达,序列,蛋白,获得,基因
标记,探针,放射,合成,苯磺
密封,阀门,波纹管,金属,航天
含有,碳酸酐酶,化合物,合成,分子
孕妇,因素,西南地区,户籍,患病
蛋白,表位,流感病毒,抗原,空间















速率,用量,浊度,高硬度,沉积

数据,设计,电网,集成,模型
电网,混联,问题,分析,运行









关系,中风病,数据,临床,拟合

证候,中风病,诊断,患者,进行












降解,菌株,反应,筛选,毒素
表达,腹部,脂肪组织,蛋白,组织
异种,移植,器官,研究,纤维细胞
豆腐,盒装,辐照,品质,感官
低温,胁迫,油菜,质量,途径
兰州市,浓度,大气,质量,国家
基因,表达,组织,皮肤,绵羊
性状,生长,品系,分析,绵羊
油田,腐蚀,延长,加强,溶解氧

浓度,胁迫,沟叶,处理,植株

选系,生长,下降,能力,胁迫
草坪,胁迫,枝条,生长,反应
生长,叶片,胁迫,缺磷,沟叶
体系,反应,进行,因素,荷花

诱变,辐射,差异,剂量,降低


效率,企业,行为,投资,研究成果
服务业,生产性,集群,大都市,国际
盈余,管理,后续,声誉,政策

股东,资产,注入,行为,优质




荔枝,多糖,提取,能力,协同
含量,资源,风味,活性,品种
解液,确定,蛋白酶,风味,解脱
花色,物质,合成,果桑,含量
应用,合成,复合,方法,制备







地区,低温,分布,资料,热量
研究,气候,预期,进行,结论
风险,旱灾,安徽省,态度,变化
灾害,影响,作物,评估,进行











胎盘,老化,组织,表达,妊娠
旋转,任务,提示,差异,男性
表达,突变,层析,定点,分子
指标,生理,相关,大学生,进行
表皮,葡萄球菌,苦参碱,生物,影响
应用,皮质激素,对照组,方法,表达
表达,融合,基因,蛋白,构建








钢材,工形,压弯,抗震,构件
























分析,结构,屋盖,变形,要求
高温,力学性能,分析,试验,进行
大肠菌群,冰箱,比例,阳性率,冰柜
性能,构件,研究,具有,分析
截面,温度,求解,有限元,钢材
结构,采用,混凝土,分析,超限
结果,达到,结构,椭圆函数,波段
火力发电厂,地震,屈曲,钢结构,支撑
支撑,结构,框架,约束,布置
混凝土,波纹,腹板,性能,试验
剖面,结合,气候,指示,发展
影响,因素,区域,经济,发展
重金属,拟合,分布,北京市,耕作
土壤,含量,铵态氮,硝态,降低
模型,参数,地表,径流,土壤
土壤,科学,发展,社会,研究
水稻,冠层,进行,能够,结构
土壤,厚度,土层,研究,农业土壤
深层,影响,变化,地下水,入渗
土壤,铅含量,分布,影响,空间
生物量,用于,估测,作物,光谱
收敛,求解,准则,是否,能够
地区,进行,分析,序列,扩增
空间,疾病,模型,分形,面积
机理,植被,参数,具有,问题
采用,调查,分布,涉县,容器

疫源地,时空,模型,分型,演变
土壤,灌区,有机磷,含量,排水
库滨,进行,流域,数据,结构
污染,灌区,农业,产生,溶解性
情况,基金项目,项目,方向,学科










日志,电网,调度,标注,信息
日志,电网,调度,标注,信息



















加工,切削力,表面,粗糙度,影响



系统,电机,余度,绕组,采用
发电,系统,交直流,混合,发电机
电机,模型,等效,拓扑,绕组
绕组,分析,电机,励磁,构成
利用,矿化,技术,减排,作者

试验,性能,冲击,混凝土,粉末
混凝土,效应,尺寸,粉末,活性
扩展,水力,砂岩,技术,致裂



含量,旗叶,可溶性,黏土,栽培
影像,监测,精度,叶片,小麦
栽培,根系,模式,产量,分布
处理,产量,年份,群体,差异
品种,行距,穗型,豫麦,籽粒
水源,水域,评价,富营养化,水质
宽幅,冠层,带播,行距,产量
双氧水,防治效果,蔬菜,化学农药,生产
产量,籽粒,品种,氮肥,小麦
石灰岩,生物,山场,进行,得到
波段,氮素,小麦,模型,光谱








诱导,细胞,增殖,能力,治疗













自由基,捕获,探针,琥珀,酰亚胺

捕捉,进行,中心,自由基,能力












体系,有关,影响,黏度,温度

基因,表达,胁迫,黄瓜,同源
标记,黄瓜,连锁,位点,分子








海水,温度,水质,成分,因子

分布,因子,海水,南海,水质



肺癌,患者,检测,细胞,疗效
森林,城市,效益,密度,增加
生物,研究,尺度,途径,应用
分数,升高,体积,研究,大气
处理,含量,变化,时间,延长
升高,浓度,树种,含量,条件
风险,生态,城市,人口,辽宁
体积,研究,分数,叶片,可溶性


浓度,研究,含量,影响,升高



算法,特征,运算,样本,具有












建设,材料,中心,工程,素质
通量,耐腐蚀性,结果表明,防水砂浆,具备








天山,湿润指数,树轮,东段,计算



干旱区,降水,亚洲,水汽,变化





















胃癌,人群,位点,多态性,基因型
结肠,内镜,病变,发现,患者
埃索,治疗,事件,出血,给予





含量,叶片,稻麦,水平,光谱
分类,提取,信息,面积,水稻
含量,叶片,蛋白,光谱,波段
作物,作物栽培,设计,生长,管理
系统,管理,决策,支持,方案
处理,水稻,水分,光合,灌溉


小麦,叶片,过程,叶色,模型
土地利用,变化,地形,时空,因子
开发,单元,手段,民间,奖励
土地利用,城市化,速度,变化,分析
因子,土地利用,影响,变化,研究
扒窃,活动,存在,居民,场所
城市规划,土地利用,调控,城市,研究




区间,决策表,属性,方法,反馈
预测,网络,方法,分析,模型
设计,系统,保密,理论,矩阵

适应,同步控制,时滞,具有,表明
线性,模型,神经网络,局部,隐层
有用,时滞,神经网络,信号,提出




气化,生物质,技术,现状,概念
生产,种植,大蒜,机具,提出





毒性,遗传,效应,污泥,样品
芳烃,污水,污染物,沉淀,去除









模型,中耳,淋巴液,内耳,等效
鼓膜,进行,单元,中耳,模型

研究,提供,有限元,结构,进行



四川,辽宁,指数,密度,上海
性状,特性,维管束,亚种,辽宁
性状,四川,群体,辽宁,亚种

小麦,灌溉,农业区,黄淮海,产量
减排,问题,结论,经济,谈判
生产潜力,气候,东北地区,过程,波动






灭活,病毒,悬液,脊髓灰质炎,臭氧

传输,系统,调制器,采用,集成
传输,系统,调制器,采用,集成


纤维化,指标,指数,常规,实验室
脂肪,病理,酒精性,临床,性肝炎
治疗,壳聚糖,模型,剂量,大鼠
基因,频率,等位基因,多态性,分析
注射液,治疗,甘草酸,患者,降低
增殖,肝细胞,浓度,影响,可抑制
大鼠,模型,黄酮,治疗,对照组
细胞,浓度,氨酸,肝细胞,细胞膜
症状,缓解,复方,试验,反酸
纤维化,指数,预测,感染,指标

吸附,模型,气体,研究,问题
活性炭,处理,表面积,研究,受到

氧化,特性,实验,研究,产生



体系,标准,肉制品,法规,贸易
工程,社会,农村,发展,问题
动物,食品,源性,法规,保护
企业,认证,影响,加工,相关
标准,乳制品,进行,体系,存在
乡村,负债,资金,建设,支农
日本,修订,美国,法律责任,规律
选择,相应,维权,渠道,积累


















沙地,群落,植物区系,油松林,成分
森林,城市,绿量,面积,航片
树木,研究,影响,森林,生态
幼苗,沙地,森林,边缘,年龄
城市,树种,指标,森林,评价
活性,倍增,浓度,含量,试验
沙地,过程,提取,植物,紫果
因子,防护林,关系,生长,东北
沙地,生态型,分化,研究,造林
记录,辽宁省,植物,繁殖,原产







配位,异构体,基团,能量,研究























鉴定,引物,分子,图谱,进行










组合,计算,弯矩,抗剪,试验
再生,试件,混凝土,长柱,破坏
组合,弯矩,试验,试件,截面

损伤,作用,影响,缺血性,溶液




















受试者,中国,绝经期,女性,生物









细胞,脂肪,升高,因子,水平
反应,炎症,信号,延缓,抑制
水平,基础,检测,差异,培养液

细胞,活性,脂肪,水平,炎症






湍流,激发,消除,刺激,纤维












构造,大巴山,造山,变形,地块
细胞,染色,损伤,预处理,色素
处理,高温,堆肥,活性,堆腐
治疗,患者,全血,糖尿病,黏度
因素,分析,影响,脑干,相关
交通,破裂,动脉,处理,出血
牧草,增加,菊科,比重,豆科
牧草,增加,菊科,豆科,比重
血管,患者,手术,腹腔镜,淋巴管
信息,流行病学,提供,系统,综合

患者,表达,分析,生存,病理
食管,手术,胸腔镜,食管癌,全组
技术,肿瘤,肺癌,样本,进行
















物流,城市,中心,安徽省,支持
物流,发展,安徽省,阶段,进行
城市化,经济,空间,中国,发展
要素,建设,促进,空间,集聚
城市,密集区,国家,发展,主体
资源,评价,开发,发展,指标
评价,资源,长江,适合,建港
城乡,统筹,水平,发展,因子
发展,城市群,轨道交通,城际,模式
网络,城市,服务业,生产性,研究
城镇,空间,扩展,发展,区域




生态,足迹,指数,发展,稳定性
森林,土壤,类型,养分,数据
林隙,巴山,密度,含量,牛皮
指数,阴坡,物种,阳坡,相似
土壤,华山,松林,巴山,混交林
指数,油松林,郁闭度,径级,人工
江河源,质量,综合,土地,土地利用
变化,农村,农业,调查,调整
示范,红枣,丘陵区,农业,黄土
引发,转化率,双键,聚合,速率
引发,聚合,双键,转化率,速率
聚合,体系,引发,转化率,动力学









酒酿,酿酒,酵母,优势,酒精



方程,存在,全局,耗散,了弱





















分析,铁电,材料,提出,动力学


























微晶,结构,具有,荧光,进行





















颜色,图像,均值,迁移,方法

































成矿,矿田,矿床,流体,狮子山
块体,地球化学,内部结构,元素,数据
成矿,中国,体系,大陆,矿床
矿床,矿田,狮子山,岩石,岩浆岩
研究,成矿,矿床,时代,年龄
岩体,铀矿,成矿,构造,阶段
包裹,阶段,矿床,流体,硫化物















牛蒡,群落,物种,分布,排序
因子,土壤,影响,品质,气候因子
