















NMDAR,Hal,Cloz,SPD,NR2B,concentration,inhibited,receptor,effects,subunit












胆固醇,鸡蛋,调控,机制,作用,添加剂,进行,阐述,论述,代谢
甘油三酯,脂肪,48,罗非鱼,摄食,饲料,血液,胆固醇,血糖,高脂肪
脂肪,饲料,异育,肌肉,含量,水平,鱼体,对照组,生长率,体脂

制剂,夫西,地酸干,悬剂,参比,AUC0,试验,澳美,48,制药
制剂,受试,依诺沙星,参比,ng,24,分散片,依诺,沙星片,ax
那格,列奈,浓度,内标,mm,40,1.36,片剂,等效,制剂
酚酸,麦考,浓度,血浆,高效,测定,检测,乙腈,MPA,用该




住院,2009,疾病,疾患,急性,该院,金额,多于,年度,人次
住院,15,急性病,2010,住院费用,急性,卫生院,年龄段,位单,慢性病
treatment,doxofylline,tiotropium,12,day,24,weeks,week,compared,COPD





NaCl,紫叶,含量,可溶性,胁迫,脯氨酸,0.3%,土壤,活性,渗透
Alzheimer,disease,Ginkgo,biloba,extract,analysis,mini,mental,examination,score
生态景观,河岸,京杭运河,中应,设计,该文,文化遗产,景观,申报,遵循
紫叶,胁迫,蒸腾速率,花青,净光合,含量,利用效率,叶绿素,水势,速率
Boussinesq,model,current,wave,propagation,absent,incident,form,velocity,applied









矸石,充填,覆岩,留巷,载荷,沿空,巷旁,动静,支护,侧向
stress,rock,conditions,tunnel,situ,tunnels,mines,stability,coal,located

HP,丙酸,羟基,NMR,FT,IR,GPC,高纯度,表征,单体

输尿管,结石,硬镜,腹腔镜,手术,对照组,嵌顿性,取石术,出血量,患者
外压,化学势,蒸气,溶液,压对,改变,渗透压,基本概念,更好,讨论
温熵,判据,知识点,计算,理想气体,初学,教材,热力学,体会,含义
肾癌,根治术,术后,对照组,腹腔镜,开放性,时间,拔管,进食,手术



工况,贯流泵,叶轮,变形,水流,湍流,应力,设计,模拟,流道
旋涡,吸气,Burgers,模型,计算结果,自由,切向速度,方程,现象,液面

边界层,叶片,参考点,分离点,分离,位置,离心泵,下以,面固液,两相流












oils,source,study,crude,Cretaceous,derived,coal,Jurassic,composition,characteristics





大熊猫,中国科学院动物研究所,研究,2009,12,13,Nature,华大基因,繁育,领衔



















decade,temperature,urbanized,impact,urbanization,Tm,Tmax,Tmin,stations,sites
辐射,边界层,测量,长波,订正,铁塔,高度,精度,城市,仪器
变温,特征,时间,温度,最为,郊区,变化,城区,出现,概率分布
大风,灾害,奥运,10,日数,风险,1971,2006,北京,期间
沙尘,天气,模拟,模式,数值,浓度,时空,演变,观测,华北
下垫面,城区,城市热岛,地表,对近,感热,能量,模拟,城市,高温
wind,speed,declining,Beijing,trends,annual,winter,seasonal,summer,extremes
负荷,多元回归,电力,2002,2004,神经网络,非线性,模拟,方法,模拟能力
环境遥感,监测,城市热岛,城市,热岛,环境监测,地表,强度,温度,指标

















重金属,评价,污染,模型,土壤,综合,毒性,庄顶,Cd,Ni
生态,矿产资源,涵养,成渝,经济区,多样性,生态环境,水源,土壤,RS
km2,重要性,重要,总面积,涵养,成渝,经济区,区域,生态系统,面积
放牧,生境,土壤,中度,动物群落,动物,类群,强度,重度,轻度
10,scenario,MHRA,exposure,uncertainty,pathways,analysis,multimedia,risk,elements
SP,WP,动物群落,土壤,类群,指数,夏季,轮牧,秋季,亚高山
风险,95%,处置,环境,可行性,验证,模拟,项目,危害,模型
湿地,研究,三峡库区,生态系统,技术,消落,3S,研究进展,不足,演替
消落,基塘,三峡水库,工程,生态,利用,湿地,多样性,植物,生态环境

萌发,种子,物种,水位,消落,植被,试验,数目,密度,培养皿
ACE,蛋清,胰蛋白酶,活性,抑制,加酶量,底物,浓度,提高,模型

造林,成活率,盐渍化,盐碱地,提高,树木,地区,更好,改良剂,生长
鸡蛋,含量,绿色,天然,柴鸡蛋,粗脂肪,VA,VE,卵磷脂,灰分


罐内,油温,原油,浮顶,温度场,环境温度,分布,测试,同温,外界
减阻,管件,CTAC,NaSal,效果,溶液,直管,局部,800,ppm
减阻,C20H43NO,ppm,特性,900,浓度,腐蚀性,剪切,温度,结果表明
氧化,电化学,微弧,阻抗,过程,铝合金,扫描电镜,生长,转变,恒流法




































黑腔,不对称性,内爆,随腔长,辐射,对称性,变化,时间,压缩,三种




芯片,OLED,驱动,电路,高压电源,显示,彩色显示,96,64,无源
scheme,sensing,proposed,asymmetrical,current,FRAM,sense,prototype,based,1T1C







ERG,刺激器,多焦,图形,检测,绘图,视网膜,算法,记录,mfERG

FPGA,架构,运算,Mapreduce,CPU,扩展,基于,可扩展性,平台,存储资源
移动硬盘,数据完整性,一种,FPGA,USB,安全,智能卡,泄密,读写,信息安全
控制器,RED,拥塞,控制系统,算法,Internet,AQM,校正,反馈,采用
仿真,MANETs,流量,相似,数据包,性能,IP,重尾,Pareto,背景


引物,布鲁菌,PCR,B4,B5,分离,血液,羊种,BP26,阳性












小鼠,疫苗,TC,细胞,HPV16,免疫,淋巴细胞,特异性,反应,移植
吗啡,TFL,NMDA,受体,显著,表达,中脑,耐受,nNOS,镇痛
NAG,ADF,GFR,分级,0.05,病理,患儿,统计学,10,健侧
大肠癌,氟尿嘧啶,ATPTCA,药物,药敏,异质性,单药,11,顺铂,敏感
插管,麻醉,气管,诱导,后值,HR,Pa,观察期,血压,变化率
TPO,基质,对照组,实验组,胶原,纤维,细胞,粘素,增殖,巨核细胞
ATP,TCA,对照组,检测,治疗,有效率,上皮,组与,两组,卵巢
VCAM,PPAR,大鼠,表达,西洛,mRNA,糖尿病,主动脉,NF,0.01
HDACs,potent,compounds,Histone,deacetylases,play,role,tumorigenesis,Inhibition,considered




油藏,储层,条件,油气,生烃,延长,高产,三角洲,渗透,强度
阶段,活度,铅锌矿,逸度,洞中,床磁,pH,Eh,总硫,总碳
同位素,天然气,里格,甲烷,气藏,侏罗世,含量,气田,单体,阶段
砂体,层序,M1,M3,沙溪庙,沉积,M2,M4,旋回,高分辨率
笔石,定向,排列,页岩,Normalograptus,五峰,黑色,变化,带笔,滇黔桂
TB,SA,结核病,抗体,结核,检测,肺结核,敏感性,PPD,肺外
韵律,储层,非均,孔隙,储集,微相,质性,沉积,表现,组合





















































optical,bistability,Kerr,interaction,study,Bose,Einstein,condensate,atoms,driven


instability,dynamical,Bose,Fermi,regions,mixture,system,bosonic,interparticle,paper












壬基,水中,阿特拉,内分泌,酞酸,双酚,西玛津,草净,干扰,检出
吸附,活性炭,DCAA,乙酸,TCAA,底质,氯乙酸,GAC,条件,速率
氧化,光催化,不同,处理工艺,土臭素,geosmin,GSM,methylisoborneol,MIB,嗅味

DMP,H2O2,UV,去除,浓度,工艺,饮用水,去除率,本底,二甲酯
技术,开发,去除,吸附,膜法,混凝,各除,研究进展,优缺点,吸附剂
高校,中水,回用,处理工艺,系统,设计方案,规划设计,实例,校园,经济效益
MS,NDMA,GC,相色谱,联用,亚硝胺,质谱,类物质,色谱,液相

臭氧,炭柱,活性炭,氨氮,投量,CODMn,UV254,浓度,停留时间,进水
生物量,盖度,群落,变异性,方差,功能,草场,尺度,极限值,生态
结皮,粉粒,cm,养分,土壤,速效,含量,下层,容重,2.5
水体,井水,水窖,HCO3,水库,Cl,自来水,泉水,离子,差异性
变异性,表层,沙地,含水量,丘间,土壤水分,尺度,沙质,草场,土壤
序列,差不嘎蒿,Artemisia,Clade,科尔沁沙地,固定沙丘,流动沙丘,生境,种群,表明
微生物,放线菌,土壤,月份,数量,真菌,细菌,垂直,因子,分布
沙层,厚度,cm,蒸发,蒸发量,土壤,土壤水分,流动沙丘,显著,增大
群落,草地,退化,物种,演替,阶段,沙漠化,生境,变化,过程
凝结水,00,沙地,土层,凝结,土壤,生境,水量,3cm,mm
小叶杨,樟子松,土壤,微生物,林地,流动沙丘,对照,活性,显著,生物量
封育,mm,0.25,含量,0.05,土壤,显著,粗沙,土壤有机,粉粒










Wigner,相干,光子,函数,叠加,增减,其非,态在,2N,负部


adaptive,fuzzy,control,controller,proposed,robust,tracking,feedback,nonlinear,systems












ob,裸裂,表达,黄河,mRNA,胰脏,序列,基因,白肌,RT
青刺果,黄酮,小鼠,糖尿病,TC,嘧啶,基转移酶,显著性,对四氧,灌胃
MSTN,裸裂,基因,分析表明,序列,黄河,同源性,肌肉,内含子,TGF
菌株,最适,Pe,Ps,生长,Pc,pH,配伍,芽孢,杆菌
DNA,对虾,介导,显微,基因,导入,对照组,外源,远缘,氨基酸
QTL,磷酸酶,显著性,区间,染色体,95%,LG14,变异,碱性,酸性
耗水量,利用效率,产量,水分,马铃薯,施肥量,多雨年,施肥,少雨,处理

试验,洗液,胃镜,清洗,多酶,消毒,对照组,组在,节省,方法





















PBL,影像,超声,教学,教学方法,问题,学习,导向,医学生,实习医生






低剂量,EAE,免疫耐受,对照组,001,特异性,鼻黏膜,剂量,淋巴细胞,诱导














黄曲霉,毒素,脱毒,粮油,方法,致癌性,Aflatoxin,AFT,研究进展,纳米材料







漂流,猛洞河,舒适度,评判,气候,客流量,气象条件,预报,因子,湖南省
负荷,模型,均生,MGFM,灰色,预测,GM,函数,精度,数据
储能,钠硫电池,制备,kW,电池,技术,650A,100,800,介绍
MMP,SA,ACS,AMI,UA,血清,0.01,浓度,ng,冠脉
TracePro,红外,光学,设计,软件,系统分析,气体,仿真,采用,分析
测风,滑动,分钟,高空,计算方法,平滑,GPS,RS92,探空,波段
储能,电站,分布式,再生能源,光伏,电网,技术,能源,光储,系统
视图,判定,安全性,隐私,算法,发布,不确定性,基于,问题,信息

加层,设计规范,结构,地震,要求,特性,房屋,改造,门架,有限元
预应力,抗裂,楼盖,超长,环境温度,变化,温度,截面,应力,结构
植物区系,种子,种属,植物,自然保护区,明显,博峪河,舟曲县,91,712
沿晶,气瓶,爆裂,横向,打压,扫描电镜,能谱仪,管坯,时铜,晶界
雷暴,观测,新郑,机场,天气,2004,2010,经验总结,变化规律,环流
辐射式,张弦梁,结构,地震,参数,响应分析,如矢,撑杆,空间结构,拉力
垂直距离,解法,候选,评价,理想,改进,材料,加权,为例,欧氏
网壳,承载力,单层,非线性,稳定,有限元,ANSYS,建模,柱面,边界条件
节点,极限,数值,型钢,有限元,承载力,梁柱,薄壁,耗能,试验
压力容器,设计,要求,工况,选材,一整套,方面,阐述,严峻,检验
格式,文档,PDF,格式文件,图形图像,文件,交互方式,Web,超文本,集成度
实验,微生物,课程设计,实验课,学生,综合,教学内容,该文,不断更新,合理安排
McAG2,启动子,烟草,表达,片段,转基因,缺失,载体,基因,得到
提取,挥发油,成分,水蒸气,浸提,山桐子,蒸馏,法和索氏,超声,果实
白芷,AFLP,引物,DNA,筛选,扩增,多态性,se,EcoR,体系
红花,烟草,转基因,blotting,分析,CSzCD,pBI121,CaMV,35S,启动子





干预,艾滋病,建筑工人,知识,0.05,健康,态度,教育,铜陵市,收集
专业,医学院校,开办,新批,2004,食品质量,解决办法,以供,招收,招生





影像,亮度,概率密度,对比度,镶嵌,提取,回归方程,色彩,两景,TM
地物,邻接,分类,精确,空间,遥感,提取,空间信息,地类,类误
输水,NDVI,生态,下游,16,改善,环境遥感,植被状况,旱区,效应


优化,蛋白,翻译,mRNA,起始,kcal,mol,5.0,表达,提高





BOB,surface,eastern,onset,monsoon,northern,cyclonic,inertial,Asian,ocean







对照组,后遗症,全血,0.05,治疗,颅脑,机理,中药,损伤,临床



矿床,磁铁矿,Ga,闪锌矿,超大型,成矿,尖晶石,矿物,赋存,富集
成矿作用,成矿,大陆,板块,研究,内部,高度重视,动力学,理论,构造
成矿,陆内,陆块,系统,华南,成矿作用,中生代,动力学,地块,全球
岩体,矿床,朱布,峨眉山,玄武岩,岩浆,超镁铁,铂族,3000,赋存
峨眉山,成矿,地幔,Cu,Ni,PGE,岩体,矿化,岩浆,矿床



橄榄石,岩体,元素,Ni,Cr,Zn,金川,Fo,Mn,Fe






材料,凡士林,硅油,试验,耦合,相似,水理,海底隧道,模型试验,地质力学





郊野,公园,游憩,服务设施,建设,基础,活动,国内,亟待,关键因素
废弃地,城市绿地,利用,城市,城市用地,绿地系统,为例,适绿,城市绿化,建成区
景观,规划设计,视觉,风景园林,形式,滨水,诗境,景观带,积淀,受众
城市绿地,指标,阈值,指标体系,城市,城市规划,生态学,绿地,分析方法,分区
康健,花园,人与自然,指导,中医学,设计,园林设计,30,风景园林,作一
WSUD,水资源,城市化,水敏性,为例,环境压力,南岳,水污染,人居,作出贡献
旅游,模式,风貌,文化,历史,互动,空间,主题,12,开发
基础设施,绿色,规划,单一,绿带,绿地系统,绿道,概念,藩篱,参与
思潮,世博会,设计,景观设计,互动关系,概括性,变化,载体,归纳,发展趋势















细菌,土壤,群落,PCR,霜霉威,农药,DGGE,百菌,低浓度,种群










生存率,白血病,缓解,化疗,急性,淋巴细胞,预后,109,率及,因素
iron,patients,IRP,overloading,Objective,investigate,mechanisms,underlying,bone,marrow
HSP,紫癜,患者,过敏性,临床表现,天津医科大学,回顾性,血液科,1993,2004
MM,骨病,0.05,患者,球蛋白,发病,回顾性,诊断率,高于,84
MM,损害,发生率,天津医科大学,肿瘤科,1991,2007,74,56.76%,17.6%
化疗,损伤,淋巴细胞,急性,相关,天津医科大学,血液科,1990,1997,2006







CD24,MPC,CD44,low,间质,阳性,IDC,表达,细胞,干细胞














SCS,MLD,seasonal,ocean,flux,shallow,summer,deep,winter,variation

























PCE,TCE,electron,degradation,donor,HP,reaction,rate,Objective,investigate
PM2.5,浓度,太仓,大气,Se,周边,样品,Ti,Mn,Ni









hydrogen,aluminum,melts,temperature,molecular,dynamics,absorption,content,detected,structure

apatite,Sr,rich,residual,melt,SrO,content,leucitite,ijolite,mineralogical










特质,显著,风险,公司股票,我国,回报,市场竞争,归咎于,增加,波动
管理者,权力,上市公司,价值,资本,负面影响,投资,市场化,行业,所在
薪酬,外部,差距,管理者,激励,管理层,在职,权力,公司业绩,消费
两权分离,融资,成本,股权,显著,现金流,控股公司,程度,终极,控股
薪酬,差距,管理者,内部,激励,权力,效应,价值,抑制,结果表明
多元化,杠杆,经营,财务,过度,上市公司,治理,我国,投资,抑制作用
控制权,私有,金字塔,收益,结构,以沪深,A股,2004,2007,两权分
治理环境,两权分离,融资,成本,股权,终极,负相关,显著,现金流,性质
激励,管理者,管理层,权力,抑制作用,效应,上市公司,国有,治理,过度
并购,绩效,两权分离,现金流,公司,终极,收购,股东,研究,2007
再融资,股权,过度,投资,治理环境,从大,上市公司,程度,结果表明,视角









35S,片段,拷贝数,Cry1A,npt,根际,土壤,根区,抗虫棉,PCR
321,石远,显著,活性,转双价,根际,含量,差异,土壤,基因


大别山,前陆,变形,侏罗纪,造山带,120Ma,造山,侏罗世,造山运动,超高压
探测,深部,专项,地壳,开展,技术,实验,青藏高原,我国,重大突破

三维,空间反演,并行算法,矩阵,反演,节点机,电磁,大地,计算,数据




















水资源,大连市,工程,开发利用,利用,回用,针对,2011,管理策略,指示精神
碧流河,生态,供水量,m3,河道,流域,生态环境,水库,下游,765
调度,水库,堤防,Web,河道,技术,联合,系统,Java,JSP
预报,汛限,研究,水位,水库,动态控制,开展,GFS,48,10



灾害,风险,认知,社区,IDRC2007,居民,减灾,城市,之一,研究
脆弱性,承灾体,减灾,灾情,旱灾,农业,分布,干旱,分析,评价
TN,TP,相关系数,截留,流域,非点源,负荷,输出,径流量,模拟
恢复力,灾害,减灾,脆弱性,研究,20,国内外,自然灾害,生态,IDNDR
台田,浅池,脱盐,耕层,环渤海,盐碱地,效率,hm2,季节性,黄骅
旱灾,地形,灾情,因子,风险,水分,客观,评估,评价,水热
冰水,增产,环渤海地区,灌溉,资源,利用,滩涂地,土壤,紫花苜蓿,2.45

恢复力,水灾,灾害,区域,减灾,洞庭湖区,研究,提供,概念模型,开展














细胞株,BFA,活性,真菌,细胞毒,物质,内生,菌素,黑曲霉,炭疽菌

牛肝菌,菌株,分离,美味,序列,夏生,Boletus,aestivalis,Paul,Fr



香精,解析,调香,香韵,精油,配方,结果,香精香料,GC,MS
香韵,香精,成分,调香,剖析,主体,浸膏,GC,MS,烟用
香精,复配,调香,化学,烟用,计量学,气味,香精香料,知识,GC
光谱,校正,红外光谱仪,扫描,仪器,16,Bruker,CCA,测量,导致
香精,相色谱,特征,解析,未知,还原,外标法,调香,化学,质谱法
丹参酮,丹参,酚酸,儿茶,IIA,含量,浓度,批次,HPLC,DAD
指纹,图谱,非线性,样本,耗散,阻尼,化学,体系,化学成分,化学反应
GC,MS,成分,定量,汽油,归一化,准确,环烷烃,93,191
指纹,图谱,非线性,相似,样本,化学,计算,度时,欧氏,相关系数
混配,酊剂,复杂,精油,香精,成分,正交投影,GC,MS,表香
提取,挥发性,萃取,成分,稀释,鉴定,归一化,质谱法,固相微,进样







多孔,阻挡层,阳极,Al,Al2O3,厚度,氧化,孔洞,界面,阶段



原体,tRNA,基因,ipt,丛枝植,泡桐,蛋白,IPT,表达,菌株











研究,20,60,30,成力,三大,提高效益,欧洲,日本,节约能源

非线性,均衡器,信道,仿真,结构,线性失真,误码,适应,非线性失,Volterra








IFN,IL,心功能,细胞,MI,两组,患者,MI1,MI2,外周血
放疗,化疗,靶区,对照组,分别,LSCLC,tumor,研究组,照射,淋巴结




Introduction,devices,based,pseudorotaxanes,cantenanes,rotaxanes,commercialized,researches,applications,donor



虹鳟,幼鱼,对照组,0.05,C30,鱼粉,显著,C15,C45,奶酪
位点,微卫星,基因型,群体,等位基因,显著,多样性,性状,分析,16









Asymmetric,intramolecular,oxa,Michael,addition,activated,unsaturated,ketones,chiral,triflyl

BMI,mmol,阿立,Leptin,哌唑组,氯氮,平组,利培酮,TCH,糖脂

脑膜瘤,蝶骨,切除,内侧,巨大,肿瘤,手术,回顾性,动眼神经,26






联网,信息,介绍,接入网,通信,电力,电力通信,住宅小区,用于,映射
电力线,用电,接入,联网,接入网,通信,基于,传输层,子网,PowerLine
用电,架构,联网,分布式,设备,接入,支持,电网,智能,智能家居
广域,暂态,保护,集成,变电站,故障,继电器,跳闸,信号,智能
轨迹,不稳定性,预测,失稳,模式,基于,实时,搜索,判据,等值
风电场,元件,故障,电流,零序,选相,阻抗,短路,动作,风电
短路,风电,接入点,过流,电流,保护,发电机,接入,风力,容量
差动,变压器,故障,风电,动作,采样,保护,基于,工况,风电场
解列,解列面,断面,基于,搜索,方法,系统,仿真,电力系统,发电机
竞优,研究,机理,演化,行为,理论,整合,行为主体,表现型,进行
竞优,技术人员,识别,聚类分析,被测,特征,模型,设计院,进行,分层
高管,业绩,模式,标准,薪酬,实证,市价,契约,偏好,财务
承诺,绩效,契约,联盟,成员,正向,企业,关系,不确定性,显著
中低层,员工,绩效,管理者,工资,分享,高层,剩余,分配机制,博弈论
知识型,敬业,员工,组织,承诺,问卷,支持,感对,婚姻状况,分析
基地,东北,工业,振兴,资源型,发展,制定,第十一个五年,规划,城市集群

















浮阀,塔板,效率,mm,F1,传质,波纹,因子,导向,动能
power,attacks,DPA,analysis,hardware,implementations,bit,standard,proposed,AES














能力,顾客,企业,需求,识别,变革,物流,运营,满足,学习
风险,控制点,信用风险,租赁,承租方,关键,出租方,融资,不可抗力,次要

识别,价值,顾客,企业,能力,基于,矩阵,关键,进行,评价

ST,TMP,灌注,组为,50%,心肌,分级,术后,患者,回落







预处理,投射,绘制,切割,光线,外接,质量,可视化,方法,速度慢
decoded,reconstruction,scheme,reconstructed,WZ,proposed,stream,quantization,bin,derived

污泥,能源,利用,加以,资源化,非均,研究进展,变废为宝,附属品,质体
降解,pH,废水,光催化,涂膜,玻璃珠,滤池,TiO2,2BF,生物膜
清洗,m2,折合,循环水,除垢,结垢,黏泥,钙垢量,CaCO3,4764kg
滤液,垃圾,混凝,填埋场,变为,去除率,腐臭味,浊度,神树,处理工艺
污泥,利用,资源化,材料,加以,研究进展,变废为宝,附属品,资源,填埋
课程,学生,环境工程,就业率,问卷调查,增加,必要性,主动性,增设,积极性
吸附,H2O,TiO2,催化反应,表面,水相,对光,界面,热力学,机理











ladderane,nitrogen,contents,marine,core,lipids,anammox,reported,FAME,cycle
态铝,溶解,浮游植物,水华,分布,悬浮,清除,多发区,混合,远岸

溶解,态铝,10,Al,浓度,浮游植物,分布,结果表明,悬浮,海域











AML,CD34,CD13,表型,M3,表达,免疫,患者,HLA,DR





BMR,实测值,kJ,相关性,成分,体重,男性,身体,体力劳动,显著
骨折,损伤,骨盆,乙状结肠,造瘘,开放性,ISS,固定,挫裂伤,感染
球菌,表达,突变,蛋白,蛋白质,差异,筛选,Biolog,八号,神舟
LCT,蛋白质,沙雷菌,表达,褪色,SM166,SM213,差异,蛋白,组学




























夏季,TBO,东亚,降水,亚洲,年代,年际,变暖,南亚,60

AOD,values,simulated,carbon,East,Asia,aerosols,China,aerosol,sulfate




品系,甲苯,去除,熏蒸,去除率,菊花,效果,测试,30%,13%








共享,查询,MUIS,信息,检索,领域,访问,以及,URI,黄页


共享,UIS,信息,异构,数据库,资源,联盟,模型,有效,进行
模型,知识,服务业,方法,描述,普适,DDL,思想,建模,对模型














专业,制药,人才培养,工科,培养,工程,挑战性,研究课题,本着,创新能力














化学,激光,2007,张存浩,院士,中国科学院,我国,国家自然科学基金委员会,60,1947






























鲑气,PCR,单胞菌,实时,定量,Ct,细菌,计数,限为,血球
凡纳滨,GSH,对虾,240,添加,磷酸酶,活性,饲料,转氨酶,谷胱甘肽
GSH,0.05,添加,G180,饲料,胰腺,G120,G240,对照组,凡纳滨
104,mm3,饥饿,羔红点,肌肉,显著,生化,组分,脂肪,生理










淋巴细胞,Ig,CD2,药前,剂量,蛋白,LFA3,食蟹,rhLFA3,药后















复合,絮凝剂,絮凝,Si,凝聚,TEOS,PAC,Al,硅酸,作用











































nm,席夫碱,90.00,晶胞参数,配合,YbCl3,HL,Bu,HOC6H2CH,C9H6N












缩合,甲缩醛,哌嗪,环合,四氟苯,甲酰,制得,左氟沙星,48.1%,1H
2S,3S,叔丁氧,胺化,制得安普,73%,1H,NMR,MS,酰亚胺

课程,药学,课程体系,学科,实践,华东理工大学,药物,专业,药物制剂,化学
制药,实验,专业,工程,课程,实验室,建设,实验教学,教师队伍,功能性
实习,校外,专业,工科,华东理工大学,教学模式,师资队伍,人才培养,建设,重要环节













TaPR10,plant,wheat,PR,adult,gene,PCR,amino,sequence,stage







































V2O5,掺杂,充放电,电化学,纳米,X射线,Mn2,10,cm,测试
















临床,药学,药师,天津医科大学,实践,培养,药学院,开展,天津市卫生局,教育







NGF,FoxO3a,K252a,TrkA,Akt,磷酸化,处理,细胞,内源性,抑制剂









波导,SPP,纳米,光子,半导体,晶体,出射,LED,光路,荧光





马尼拉,地震,海沟,断层,NW,菲律宾,震源,左旋,俯冲,特征


























橙皮,糖苷,李素,大鼠,异鼠,血浆,芦丁,MS,中异鼠,10
ABTS,消癌,注射液,绿原,HPLC,清除率,活性,抗氧化,在线,清除
LC,UV,MS,min,成分,检测,30,多元酚,VWD,MSD



















































concentration,strain,acid,ISPR,original,ion,implantation,RK02,production,lactic










convergence,method,hypotheses,derivatives,function,bounded,estimate,radius,ball,Ostrowski
















































copper,age,porphyry,Gangdese,Ma,ages,Zhunuo,belt,magmatic,zircon




斑岩,铜矿,碰撞,冈底斯,吉如,二长,Ma,黑云母,成矿,伸展

















aberrantly,spliced,mRNA,654,globin,thalassemia,siRNA,mice,cells,knocking
NT,ESC,R1,ESCs,donor,cells,nuclear,transfer,embryos,lines






spinal,cord,Gln,content,glutamine,Glu,SOD,activity,GSH,MDA







metallic,filling,glass,Zr,based,alloy,melt,factors,ring,fluidity

















碰撞,超高,立交桥,深入研究,桥梁,损害,车辆,有限元,分析,现实意义
震害,方法,可靠,参数,排序,预测,可靠性,系数,程度,结果
倒塌,楼板,连续,结构,框架结构,仿真,设计,能力,研究,影响
构件,模型,纤维,单元,模拟,截面,钢筋,火灾,混凝土,本文








































PRFA,TACE,治疗,随访,射频,肝癌,并发症,患者,76,98.6%







透水,钢渣,混凝土,骨料,外加剂,集灰比,水灰比,掺量,粒径,系数
situation,future,prediction,grey,security,current,evaluation,Verhulst,model,Abstract
intrusion,security,architecture,agent,nodes,intruder,networks,response,intrusions,mobile

























缓解,患者,天疱疮,皮损,皮质激素,剂量,113,40,60,黏膜
假丝,酵母菌,真菌,感染,住院,病原学,危险,患者,检查和,因素
































pH,crBSA,charge,pDNA,BSA,modified,6.0,protein,reversal,complexes







magnetosphere,magnetic,Earth,field,DSP,ion,dawn,electrons,equatorial,2004
































































量子,密钥,器件,分配,安全性,理想,调制,实际,密码,光学











褐煤,数为,团簇,碳原子,白音,元宝山,芳环数,两种,热解,参数








filling,core,process,temperature,roll,simulated,parameters,Core,cast,speed
Nb,phase,thermal,analysis,precipitates,Cr,steel,phases,VN,spherical




CTGF,PRS,TGF,VEGF,siRNA,peritoneal,fibrosis,DMEM,factor,vector


















temperature,cathode,thermionic,emission,current,density,actual,electron,source,microwave













装配,准确度,校验,偏差,样本,对接,方法,实现,数据挖掘,特征参数
试验,机身,集成,调姿,位姿,系统,管理系统,飞机,装配,对接


装配,准确度,校验,偏差,样本,对接,方法,实现,数据挖掘,特征参数

京津冀,城镇,扩展,都市,速率,1990,2008,2020,减缓,km2


水文,生态,GIS,组件,观测站,管理系统,数据,平台,ArcGIS,Engine




























































