

























绵羊,链烷,采食,测定,牧草,排粪,技术,实际,比例,站用
青贮饲料,添加,需氧量,生化,贵龙鲜,含量,结果表明,渗出,没有,相比
强度,需水,耗水,灌溉,范围,气候,建植,模式,水分,耗水量
青贮饲料,冰草,含量,降低,原料,蔗糖,添加,进行,品质,发酵
青贮饲料,添加,原料,含量,蔗糖,影响,处理,晾晒,生成,降低
产量,耗水,系数,水分,利用效率,蒸渗,研究,仪法,生物,差异
腹腔镜,手术,输血,嗜铬细胞,患者,时间,诊断,肿瘤,结论,差异
经皮,治疗,患者,手术,输尿管,保守,震波,碎石,认为,功能






















内皮细胞,隔药,饼灸,主动脉,模型,高脂血症,脂质,中膜,平滑肌,喂养
症状,差异,疗效,治疗,浅表性,患者,胃炎,意义,方面,临床

治疗,激素,胃肠,胃炎,浅表性,差异,疗效,患者,具有,显著性
治疗,疗效,显著性,差异,胃炎,血清,浅表性,胃肠,激素,患者
胃黏膜,损伤,电针,针刺,修复,差异,模型,作用,穴位,治疗
戒断,出现,综合征,使用,上网,轻者,依赖性,性格,流涎,流泪


级联,加密,传输,系统,序列,改进,电子邮件,优势,进行,随机性
调制,无线,表达式,作为,分离,技术,方法,数据,状态方程,部署













铁电性,温度,电场,陶瓷,特征,测试,介电,具有,铁电,密度










裂纹,焊接,合金,材料,工艺,进入,能否,失塑,避免,应用
叶片,表面,晶界,断口,烟气,腐蚀,断裂,分析,弱化,发生
科学实验,培养,能力,方法,引入,收到,训练,加强,学生,运用
高温,合金,所作,化工,工业,高涨,有关,单位,协作,铁镍












光谱,时域,技术,刹车油,吸收,防冻液,检测,波段,差异,实验








温度,地表,进行,空间,观测,数据,获取,人员,辐射,地物
植被,覆盖度,覆盖,地表,分布,影响,地区,趋势,变化,降水量

水资源,蒸散,降水,研究,沙地,分布,保持,格局,暴雨,递减
试验,参数,观测,数据,流域,黑河,反演,应用,综合,水文


地表,散发,真实性,检验,估算,应用,研究,空间,影响,尺度
检验,真实性,产品,观测,应用,技术,发展,尺度,体系,定量
资源性,产品,价值,应用,选择,核算,能值,劳动,研究,方面

载点,零活,识别,桥梁,监测,监测数据,作为,确定,温度,取顶


桥梁,监测,跨度,钢构,病害,结构,系统,实际,工程,灵敏度
应力,梯度,温度,分析,厚度,装层,沥青,引起,变化,达到
斜拉桥,监测,跨径,获取,参数,起到,在实践中,评价,体系,计算方法
塑性,棘轮,演化,实验,效应,模量,应力,结果,单轴,分析



治疗,心绞痛,疗效,发作,次数,水平,患者,持续时间,对照组,证候
胶囊,通心络,小鼠,模型,血清,干预,防治,相比,作为,剂量
评价,强直性,脊柱炎,补肾,疗效,中药,评分,治疗,西药,证候
治疗,疗效,临床,改善,心绞痛,症状,心电图,患者,对照组,冠心


通量,浓缩,比酶,纯化,超滤,采用,截留,分子量,单位,体积
过氧化物,苋菜,裂解,原料,纯化,活力,溶解,磷灰石,离心,色谱
色谱分析,液相,乳酸,检测,薄层,层析,检测法,手性,利用,方法
工艺,发酵,纯化,产生,菊糖,水解,进行,综述,生理功能,菌种
蛋白质,重组,活性,功能性,基因,构建,检测,条带,生产,因子
蛋白,重组,转化率,生物,活性,目的,条带,功能性,构建,工程菌
活性,果蔬,自由基,能力,分析,西瓜,方法,橘子,运用,含量

光缆,理论,缆层,压力,缠绕,体系,实验,卷盘,静态,进行



轮廓,误差,计算,任务,要求,估算,方法,双轴,实验,证明





计量,减排,施肥,项目,方法学,配方,交易,关键,基础,设定
指标,减产,产量,风险,中国,气象,影响,进行,评价,分析
秸秆,基肥,生物质,含量,肥料,小白菜,小麦,提高,复合肥,处理
黑炭,生物,秸秆,进行,转化,减排,方法学,技术,温室,气体
生物质,葡萄,配施,植株,含量,木醋液,幼苗,提高,根数,增加
含量,土壤,速效,养分,小麦,生长,研究,季节,阶段,表层
生物质,稻田,土壤,水稻,排放,氮肥,性质,温室,产量,施用




荧光,蛋白质,测定,血清,方法,条件,光谱,内源,总量,实验

大鼠,心衰,心肌,凋亡,水平,血浆,采用,方法,结果,造成




成本,风电,作为,电站,发电,服务,蓄能,抽水,备用,火电
进行,企业,发展,电网,指标体系,水平,描述,评价,集成,赋权



电动汽车,节能,排放,模型,减排,进行,气体,污染,潜力,结构
风电,分析,发展,政策,角度,进行,风险,程度,具有,效益
测定,催化,痕量,选择性,光度法,活化剂,结果,范围,存在,标准偏差
酸作,评述,反应,对映,有机,领域,催化剂,催化,得到,采用
方法,液相,纤维,优化,中空,牛奶,萃取,交沙霉素,技术,条件
大豆,荧光,结合,作用力,理论,求出,构象,影响,可见,研究








报告,气体,温室,气候变化,减排,选择,排放,发展,评估,减缓



时空,研究,关系,文献,进行,软件,引用,解释,分析,结合
序列,模式,行为,数据,方法,挖掘,时空,家庭,进行,日志

地理,研究,发展,国家,学科,实践,人文地理,产业,规划,城市
样品,分析,实验室,交换,结果,淋洗,分离,标准,进行,国际
研究,同位素,地球化学,应用,四川,一致性,误差,范围,具有,开展
碰撞,造山,成矿,过程,系统,发育,有关,推覆,作用,事件
地壳,范围,闪锌矿,对比,同位素,可能,盆地,金属矿床,一带,成矿
同位素,研究,作用,地球化学,组成,环境,过程,地幔,碳酸岩,循环
同位素,研究,俯冲,岩浆,行为,作用,流体,特征,方面,分馏
构造,矿床,推覆,流体,成矿,盆地,组合,逆冲,发育,断裂
矿床,构造,找矿,地质,具有,预测,发育,潜力,区域,铅锌矿






细胞,基质,氧化,脂蛋白,低密度,因子,衍生,单核细胞,迁移,表达
斑块,破裂,研究,模型,量化,建立,动脉,方面,硬化,诱导
细胞,因子,衍生,平滑肌,基质,血管,粘附,单核细胞,大鼠,氧化
卷叶,试验,中度,产量,材料,性状,高密度,育种,研究,细卷














分析,化合物,级分,萃取,藿烷,商品,萜烯,分子量,石蜡,物种
反应,硫化物,柴油,衍生,进行,存在,结果表明,转化率,直馏,噻吩









菌株,融合,培养基,发酵,遗传,技术,分数,条件,去除率,温度






定标,辐射,技术,实现,发展,黑体,月球,气象卫星,响应,应用













构造,月球,演化,分析,建造,提出,综合,造成,动力,解读
分析,探针,离子,演化,同位素,地球,发展,性能,仪器,环境

















患者,血小板,治疗,剂量,输注,减低,地西,检验,样本,疗程
细胞,表达,诱导,方式,对照组,依赖性,激酶,方法,蛋白激酶,时间









土壤,影响,变化,施用,降低,增加,蔬菜,企业,活动,明显降低
土壤,空间,类型,影响,地形,太湖,母质,地区,速效,因素
重金属,系统,生产,土壤,蔬菜,城乡,高于,交错,积累,元素
土壤,幅度,全氮,含量,旱地,类型,行政区,估算,面积,数目
养分,元素,无锡,蔬菜,地区,状况,系统,生产,南京,氮磷
稻田,土壤,固碳,模拟,江苏省,免耕,措施,单元,基本,图斑
措施,管理,推荐,旱地,增加,监测点,大气,减缓,农田,土壤有机
土壤,速率,秸秆,产沙,含水率,覆盖,降雨,覆盖度,模拟,变化
幅度,土壤,变异,密度,组间,变异性,尺度,水稻,研究,选择
土壤,面积,栅格,类型,矢量图,分类,变小,矢量,利用,尺度
变化,土地利用,格局,区划,耕地,特征,空间,单元,动态,中国














涂层,应力,氧化,降温,过程,影响,系统,热障,变化,分布





巷道,综放,围岩,裂隙,钻孔,特征,分区,破裂,应力,结构
煤体,范围,风化,台阶,水平,变异性,自燃,测试,采用,防治
损伤,预测,实验,系统,确定,煤体,发生,预报,分析,结果表明
测试,围岩,巷道,锚杆,支护,采用,智能,合理,参数,结果表明
实践,实验教学,面向,实际,煤业,中心,联合,培养,能力,集团
开采,耦合,综放,阶段,煤层,迁移,规律,模拟,数值,湮水
支承,压力,超前,开采,预裂,分布,范围,危险源,模型,揭示
隧道,公路,爆破,监测,终南山,确保,效应,耦合,破坏,过程
裂隙,顶板,岩体,特征,巷道,分布,装置,西北,地震,平巷
巷道,煤层,围岩,进行,支护,采区,东翼,煤矿,乌东,方案
阻力,支架,工作面,工作,使用,矿井,经济效益,确定,生产,表明




城镇,土地,土地利用,用地,发展,利用,结构,区域,保护,建设

整理,改良,生物,土地,技术,土壤,理化,措施,研究,改善
整理,土地,区域,模式,特征,分布,进行,调研,深入,项目
进行,研究,养分,得到,分布图,施肥,栅格,县域,技术,耕地
整理,项目,农村,效果,居民点,评价,农户,大城市,能力,差异
投资,区域,整理,土地,研究,差异,出现,原因,成本,统筹
土地利用,国家,引起,现状,分类,总局,检疫,发布,领域,标准化
城镇,土地,土地利用,用地,发展,利用,结构,区域,保护,建设






种子,演替,土壤,阶段,群落,恢复,密度,植被,物种,流动沙丘
种子,蛋白质,杂交,积累,过程,脂肪,发育,分配,含量,大豆
植物,进行,机制,水平,影响,光合作用,研究进展,胁迫,环境,因子
萌发,种子,巴嘎,植被,模式,土壤温度,响应,过程,演替,恢复
粒径,入渗,沙土,相关,土壤,扩散,关系,分析,符合,结果
分配,水分,界面,测定,植物,现象,具有,研究,樟子松,应用
土壤,沙地,草地,生境,流动,沙化,个体,动物,农田,增加
种群,遗传,研究,遗传学,分子,进行,数据,利用,差异,标记
品种,调节,含量,处理,胁迫,渗透,抗旱性,叶片,差异,表明
密度,草地,种子,放牧,土壤,围封,植被,变异,比例,植物
功能,植物,群落,流动,类型,沙地,生产力,密度,草地,作用
偶氮,血瘀,小鼠,葡萄糖,大分子,颜色,呈现,模型,渗出量,程度
帕罗西,治疗,颗粒,量表,合并,难治性,热型,研究组,对照组,疗效


细胞,作用,损伤,技术,生长,生育,凝胶电泳,抑制,浓度,凋亡


心肌,胶原,表达,小鼠,感染,心肌炎,组织,观察,病毒性,重构













靶标,设计,智能,知识,飞机,规划,系统,表达,分类,集成
知识,表示,概念设计,工装,飞机,面向对象,关系,技术,装配,实例


特征,加工,信息,属性,拓扑,飞机,参数,结构件,工艺,进行












图像,效应,方向,区域,评价,伪造,方法,局部,检测,篡改























维护,算法,医疗,问题,调度,检查,数量,退化,滞后,证明

制造业,服务业,生产性,发展,理论,关系,发掘出,推动,经济,两者
物流,闭环,模型,成本,目标,微观,宏观,实现,产品,网络
工人,人机,研究,动态,柔性,制造,工作,进行,机器,数量
价格,猪肉,关系,制约,生猪,出场,批发价,误差,向量,利用










































教学,设计,特别强调,教指,学科,规范,问题,求解,手段,课程
























痕迹,骨骼,古人类,观察,表面,工具,产生,现象,动物,食物
古人类,发掘,化石,发育,牙齿,文物,属于,研究所,岩洞,湖南省
燃烧,古人类,样品,分析,可疑,地层,植物,人类,发现,元素











土壤,植物,研究,存在,大气,过程,分室,系统,贮存,表明
土壤,分布,特征,类型,植被,为主,研究,有机,含量,生态
能值,农业,环境,投入,东北地区,发展,高质量,负荷,能源,效率
土壤,硫含量,开垦,下降,农田,含量,提高,肥力,特征,探明
分布,土壤,差异,植被,群落,特征,影响,储量,研究,状况
土壤,分布,特征,降低,碟形,含量,形态,氮素,影响,水位
累积,生物,影响,地球化学,因素,效应,过程,类型,分析,氮素
通量,特征,沉积物,潮滩,变化,三者,气温,大气,地表,温度

植物,生长,变化,硫含量,土壤,小叶,季节,具有,特征,分布
电化学,系统,加工,样机,过程,工艺,节能,设计,控制电路,结构设计

损耗,功率,数学模型,分析,大功率,电源,系统,设计,散热,选型

调制,谐波,实现,原理,参数,分析,小波,输出,电压,影响
























土壤,养殖,沼液,发电,太阳能,有机肥,养殖业,可为,改良,规模化





全球,吸收,河流,流域,碳酸盐岩,估算,风化,速率,通量,喀斯特
喀斯特,碳酸盐岩,侵蚀,地区,算法,土壤,传统,洼地,空间,速率
超导,电抗器,可控,进行,特性,具有,工作,原理,线圈,设计

模型,线路,电流,电压,故障,平波,直流,电感,匹配,实测
输电,直流,线路,特高压,保护,暂态,边界,原理,故障,利用
电抗器,空心,偏差,干式,并联,包封,变化,引起,局部,工艺
雷电,闪络,雷击,电流,杆塔,避雷线,传输,系统,上升,外撑角
故障,电压,线路,波形,实测,直流,计算,输电,元件,电流
行波,电压,雷击,故障,闪络,引起,到达,阶段,进行,检测
保护,故障,动作,电流,直流,线路,变化率,作为,采用,后备















卵巢,卵泡,限制,能量,大鼠,对照组,功能,处理,原始,储备





























科学,大师,产生,思考,引进,培养,投入,增加,方面,科技队伍


氧化,吸附,表面,改性,官能团,活性炭,酸性,球状,沥青,气氛
































吸收,衰减,效应,模拟,频率,地震,数值,空间,经验,公式


成像,方法,聚焦,能量,计算,深度,理论,精度,波场,虚拟
技术,曲面,成像,深度,给出,面炮,高质量,资料,数据,方程
天然气,水合物,勘探,提供,研究,总结,能源,地形,标志,日益
吸收,衰减,模拟,地震,使用,进行,空间,内存,需求,数值

理论,层析成像,给出,具有,射线,函数,影响,信息,反演,走时


































































牦牛,检测,方法,脱脂,流动,分离,定量,洗脱,色谱,二极管
测定,检测,检测器,色谱,液相,可见,质量,范围,浓度,超声波
提取,实验,动物,基因组,浓度,样品,琼脂糖,冷冻,凝胶电泳,耗时
废水,化纤,反应器,处理,磷源,环流,降解,生化,气升式,速率




糖尿病,基础,发展,肾病,提出,病理,临床,实际,迁延,积聚
辨证,脏腑,病变,专家,认识,方面,病位,阴阳,具有,方法
证候,糖尿病,医案,教授,瘀血,统计,阻络,气阴,治则,结果
治疗,尿蛋白,红细胞,差异,指标,定性,慢性肾炎,目的,水平,结论
辨证,信息,糖尿病,采集,复合,客观性,分型,临床,实证,实用性
证候,趋势,组合,演变,构成,具有,分布,规律,横断面,舌下
黄连,人参,模型,列酮,饲料,吡格,胰岛素,大鼠,高脂,观察

糖尿病,医案,教授,数据库,患者,出现,结果,因素,学术思想,挖掘
























































中国,分析,青岛,序列,结果表明,沿海地区,探讨,聚集,类型,采集







































波形,爆破,伸缩,方程,论证,获得,紧性,研究,时间,振荡

提取,沉法,蛋白质,碱提酸,松茸,酶法,工艺,条件,结果表明,质量







测量,薄膜,成膜,材料,分析,波导,获得,方法,优于,氮气

















基因,荧光素酶,活性,转录,序列,生物,研究,检测,进行,分析

侵袭,表达,迁移,基因,检测,能力,细胞,水平,调控,功能

噬菌体,细胞,抗体,展示,单链,免疫,技术,结合,活性,方法








































细胞,发育,研究,拟南芥,复制,类型,增加,方法,细胞周期,利用
表达,转基因,基因,发育,拟南芥,过量,叶片,导致,轴面,细胞















提取,边线,水体,信息,影响,方法,表层,消除,地物,偏移
















影响,组件,因子,理想,二极管,推导,联接,电路,理论,功率
电流,参数,方程,代数方程,建立,过程,进行,结果,求解,电性
温度,日照,实验,内阻,串联,功率,晶体,理论,事实,验证
推理,算法,精度,动态,问题,模型,概率,混合,计算,引入
强度,日照,功率,电流,电压,变化,短路,理论,数学,因子
控制,系统,电网,前馈,电压,扰动,实验,负载,无源,稳态
参数,电流,方程,功率,电性,求解,相比,数据,实验,曲线
电流,串联,参数,方程,求解,实验,结果,可行性,封闭,方法

微网,能量,协调控制,控制,机制,单元,方法,系统,管理系统,自主
含量,优培,根系,指标,亲本,叶片,早衰,抽穗,杂交稻,生理
土壤,镰刀,中尖,蔬菜,栽培,数量,增加,塑料大棚,栽种,深度
土壤,大棚菜,耕层,含量,速效,直湖港,流域,大棚,评价,面积
















药用,中国,子囊,大量,菌物,素材,资源,种类,贵州,科学




















菌核病,盘菌,油菜,防治,作用,萌发,菌核,菌丝,潜力,抑制











































































故障诊断,监测,远程,系统,架构,分布式,模型,服务,提出,验证

设备,性能,退化,向量,程度,支持,评估,距离,恶化,特征向量












































细粒,岩石,化学,侵位,时代,研究,关系,岩浆,矿区,控制

成矿作用,岩脉,岩浆,地球化学,指数,元素,结果表明,年代学,作用,湖州





























































































































虫体,进行,基因,构建,测序,纯化,间隔,试验,梨形,大枝
感染,血液,脾牛,进化,关系,成虫,带回,涂片,检查,采集




血浆,结果,样本,临床试验,测定,使用,乙醚,分析,结论,方法

洛伐他汀,质谱,法测定,喷雾,离子化,联用,有机,层用,选择性,离子
制剂,试验,生物,双嘧达,剂量,参数,动力学,等效,口服,缓释
制剂,胶囊,进口,生物,硫酸,国产,受试,交叉,等效,男性
利沙,参数,药动学,剂量,试验,受试者,测定,口服,代谢,胶囊
代谢,产物,采用,研究,参数,药动学,过程,定片,蓄积,单次



































































元件,方向,出现,阻抗角,零序,分析,性能,验证,逆变,方法
分量,故障,幅值,单相,实现,断开,判别,电流,性质,电抗器
















































技术,手印,显现,发展,优缺点,历史,现状,改进,方法,介绍













































































































行波,故障,线路,测量,分量,利用,暂态,配电,架空线,产生
平台,分析,故障,系统,进行,模块,特点,组成,划分,问题
电流,故障,零序,暂态,特征,稳态,方法,幅值,相位,电压
行波,原理,A型,方案,故障,进行,实际,可靠性,准确性,优化组合





















方法,评估,河流,栖息地,生态,修复,生物,水力学,水文,分为
河流,评估,综合,功能,评价,生态,模型,生物,标度,因子
河流,修复,生态,进行,特征,地貌,总结,措施,工程,方法
修复,河流,生态,方法,设计,规划,负反馈,过程,进行,循环
生态,调度,美国,措施,水库,试验,分析,哥伦比亚河,实践,情况
生态,工程,河流,治理,形态,理念,设计,布置,总体,运用
环境,类型,吸收,体系,植物,降期,浓度,系统,研究,模拟实验
生态,景观,格局,过程,流域,评估,状况,分析,规划,土地利用
特性,级别,河流,健康状况,评价,模型,参数,水质,生物,地貌
景观,格局,提高,增加,类型,自然保护区,生态,变化,因素,调水







































































北京市,能源需求,能源,城市,客运,趋势,环境,气体,模型,压力


















































试验,回路,研究,模拟,规律,母线,分支,方案,过电压,统计


































表面,结果,终结,实验,结构,控制,应该,动力学,进行,稳定性
吸附,密度,表面,终结,结构,进行,观测,稳定性,氢键,结果


























暴雨,中心,切变,位于,数值,对应,低层,进行,过程,分析
冷空气,台风,变性,对流层,中尺度,侵入,进行,低层,云系,过程
强对流,降水,天气,发生,过程,发展,进行,数值,形成,中尺度
过程,增湿,增温,回波,低层,急流,低空,资料,天气,华南地区
台风,暴雨,数值,转向,资料,影响,中心,交界处,敏感性,造成
潜热,过程,凝结,对流,得到,矢量,指示,加热,辐合,作用
过程,发生,天气,进行,急流,位涡,机制,能够,高空,增强
预报,降水,强降水,参数,得到,表示,区域,指数,运算,设计
暴雨,进行,结果表明,过程,低涡,时空,数值,模式,有关,中尺度
能量,分析,龙卷,对流,发生,运用,模拟,强对流,数值,天气
指标,提取,含量,抗疲劳,实验,时间,工艺,进行,体能,功效
活性,化合物,鸟苷,波谱,性质,活性部位,肿瘤,细胞,坏死,方法





基因,菌株,新疆地区,医院,测试,氨曲,琼脂,平皿,内酰胺酶,巴坦
培养,细菌,方法,鉴定,真菌,培养基,菌群,葡萄球菌,分布,目的













水合物,实验,天然气,生成,条件,计算结果,测定,计算,应用,纯水

























体系,阻尼,性能,制备,改性,力学性能,进行,环氧树脂,使得,研究







颈部,成人,色斑,扩张,葡萄酒,皮瓣,修复,效果,外科,质地
落架,胎架,结构,分析,支撑,拆除,钢屋,方案,情况,阶段
治疗,缺损,皮肤,外科,方法,方案,手术,综合,成功率,探讨
扩张,瘢痕,皮瓣,患者,应用,发生,治疗,皮肤,下唇,外翻
水平井,砂体,产量,地质,气田,技术,单井,达到,运用,走势
应用,技术,修复,治疗,临床,扩张,完善,皮肤,设计,效果
皮瓣,荧光,皮肤,坏死,血流,组织,预测,撕脱,面积,脱伤
支撑,平面,结构,实际,荷载,布置,软件,显示,变形,效果










指标,粒剂,分散,测定,类型,用量,得到,质量,控制,进行

腹水,肉鸡,降低,右心室,心功能,综合征,低温,仔鸡,分为,电压

配合,配位,形式,存在,分子,方式,荧光,衍射,测试,单晶
















语言,美术,绘画,辽宁,人物画,中国,作品展,进行,创作,座谈


























过程,强化,能耗,耦合,费用,投资,经济效益,精馏,提馏,设备















































菌株,细菌,研究,物种,结果,耐盐,土壤,存在,培养,样品
菌株,细菌,研究,硇洲,结果,海胆,物种,南海,存在,结果表明















细菌,分离,球菌,东北地区,进行,临床,抗菌,广谱,医院,药物
病毒,蚊虫,标本,检测,虫媒病毒,脑炎,采集,阳性,乙脑,抗体







镁合金,性能,高温,稀土,重点,温度,材料,强度,领域,航空航天
成型,技术,介绍,镁合金,铸造,新工艺,表面,材料,合金,中心
患者,抗结核,肝功能,治疗,提高,损害,种类,合理,优化,血吸虫病
离子,液体,沉积,水溶液,研究,方法,应用,前景,溶剂,能克服
合金,腐蚀,测试,冷却液,行为,电化学,作用,反应,表面,商用












分析,冠心病,研究,多态性,数据库,进行,中国,关联性,亚洲,关联
患者,损害,系统,器官,表达,水平,红斑狼疮,系统性,凋亡,高于
肝脏,系数,含量,对照组,氧化,体重,组织,损伤,蓄积,毒性
患者,损害,系统,凋亡,表达,器官,红斑狼疮,系统性,情况,指数
艾滋病,嫖客,知识,因素,行为,柳州市,使用,人群,知晓,梅毒










获得,扩增,启动,进化,遗传,蛋白,组织,方法,广西,发病

高原,患者,治疗,进行,海拔,方法,标准,量表,分为,显著性


脱位,方法,选择性,出现,发育,治疗,髋膝,选择,臼术,深度
病毒,禽流感,鸭源,基因,毒株,流行,广西,地区,江苏,亚型










身份,标识,位置,分离,问题,方案,网络,核心,宿主,规模
加工,老化,精度,糊化,硬度,比值,光度,回复,粘度,凝胶
澄清,果胶酶,实验,酸枣,因素,进行,降解,物质,果胶,基本
处理,血细胞,破胞,射流,高压,溶血,粒度,降低,粒径,研究
体系,有着,影响,温度,反应,条件,溶剂,甘油,进行,转化率
食用,开发,给予,价值,油料,树种,蛋白,分析,脂肪酸,含量

小球藻,碳源,积累,油脂,生长,葡萄糖,研究,情况,影响,结果表明
瘢痕,疙瘩,治疗,结合,电子线,放疗,方法,临床,疗效,手术
胡萝卜素,食品级,运载,生物,体系,利用率,包埋,负载,不稳定性,开发
有机酸,酸枣,含量,枣糕,制作,色谱,采用,工艺,提供,方法




























风险,分销,资源,计划,实施,分析,特点,控制,提出,规避
物料,消耗,进行,综合,模型,评价,分析,系数,产品,经济
图形,识别,封闭,规则,效率,总体,策略,表明,应用,方法
虚拟,装备,提供,交互,平台,数据,部件,路径,实装,系统
平台,数控系统,打标机,气动,实例,工业,研究,验证,构建,系统
销售,系统,管理,数据,支持系统,采集,技术,面临,分析,架构
沙漠,地区,隧道,经济效益,开展,交通,设计方案,公路,有着,建设
定制,需求,制造,优化,设计,废旧,关系,配置,数量,不确定性
制造,平台,共性,服务平台,体系,研究,应用,架构,技术,提升
制造,方法,机床,综合,方案,评价,进行,实践,技术性,经济性




















发展,经济,美国,框架,重整,规划,虚拟,抢占,创新,导致


























腐蚀,阴极,产物,合金,基合金,影响,研究,行为,细化,颗粒
工艺,电镀,三价,材料,阳极,应用,镀液,环境污染,价铬,成为
































































基因组,注释,基因,研究,进行,蛋白质,测序,数据,质谱,串联









电致发光,厚度,变化,配合,光谱,器件,纯度,发现,结构,光致发光























储集层,识别,气测,分析,组合,模式,气田,岩心,结合,数据
面积,沙化,土地,扩展,处于,封育,状况,治理,劣地,风蚀

用户,攻击,行为习惯,检测,研究,模型,方法,建立,提供,拓展







游泳,胭脂鱼,行为,集群,全长,增加,仔鱼,日龄,速度,发生








赖氨酸,基因,含量,体系,突变,导入,供体,构建,利用,改进
品种,性状,产量,胁迫,氮肥,农艺,进行,考查,自交系,工作
基因,产量,相关,候选,行数,高密度,采用,遗传,确定,整合
产量,遗传,试验,增益,评估,方法,育种,进行,得到,杂交种
遗传,冷性,种质,鉴定,指标,研究,基因,筛选,应用,芽期




耐旱性,苗期,品种,育种,影响,系数,生物量,杂交种,趋势,单交种
收益率,目标,模型,序列,持有,能够,外汇储备,汇率,得到,理论
基金,风险,系统,指标,评价,指数,估计,构建,反映,动态
波动,跳跃,股市,中国,估计,具有,分析,模型,幅度,特征
分布,模型,拟合,指标,选择,流动性,结构,参数,引入,进行
人民币,汇率,外汇储备,结构,升值,预期,变化,协整,检验,关系
模型,预测,波动,实现,结构,突变,股市,中国,特征,样本
跳跃,股市,波动,中国,特征,条件,模型,实证,回归,具有
传递,变化,效应,物价,结构,提出,面临,研究,符号,人民币
消费,关系,政府,方法,私人,影响,因素,检验,两者,结果表明




表达,通路,配体,分子,胞外,信号,进程,特征,差异,相关
模型,劲酒,中国,肾阳虚,大鼠,皮质,采用,免疫,血浆,功能

治疗,大鼠,皮质,干细胞,骨髓,模型,表达,代谢,对照组,改变
活性,增加,大鼠,模型,对照组,补骨脂素,基因,治疗,体积,果酸















国际,增长,差距,经济,贸易,增加,继续,城市化,体系,金融


